date,Historical,RiskMetrics,Covariance,CCC-GARCH,Student-Copula-GARCH,Student-Copula-MSM
2014-10-29,-1.7682407358493757,-1.8136800011113796,-1.7231855062158483,-1.7495378448998384,-1.7495965900767267,-1.7434859039118642
2014-10-30,-1.7682407358493757,-1.7609658549401421,-1.72368297898502,-1.6469244396301,-1.6469801858567776,-1.6189554669809263
2014-10-31,-1.7682407358493757,-1.7189780663437666,-1.7233372919322092,-1.5646163296791606,-1.5646691930511163,-1.548320171017527
2014-11-03,-1.7592756825924427,-1.745245632926771,-1.7191392782175599,-1.6034967129320412,-1.6035507159672173,-1.6585514295054427
2014-11-04,-1.7592756825924427,-1.6924024237657673,-1.7190653736368144,-1.5064622363514302,-1.5065132782517847,-1.5299418782857976
2014-11-05,-1.7255119771794456,-1.645486953740992,-1.7118418134805349,-1.4333450413888102,-1.4333938596832823,-1.444990390178179
2014-11-06,-1.7255119771794456,-1.5986025206548868,-1.7104792844546528,-1.3688204974845126,-1.3688669981781805,-1.3685275269406727
2014-11-07,-1.7120045874789236,-1.557451148766397,-1.699156966037982,-1.3041500070503678,-1.304194487468423,-1.2831509231451188
2014-11-10,-1.7031141004491213,-1.51012163020537,-1.6947507389513194,-1.2388914695632898,-1.2389340347256572,-1.1843067361780708
2014-11-11,-1.7031141004491213,-1.4713396337975457,-1.684960971497034,-1.1871407147691966,-1.1871817506357585,-1.13046914969149
2014-11-12,-1.7031141004491213,-1.427490197039644,-1.6846810413790776,-1.1325423079936927,-1.1325817372869613,-1.0730674930150528
2014-11-13,-1.7031141004491213,-1.3848629911191301,-1.684191250935234,-1.0876886659597282,-1.0877270968009154,-1.0421238707280793
2014-11-14,-1.7031141004491213,-1.3430606504175922,-1.6818598883001048,-1.0438918718674817,-1.0439290151232077,-1.0141553542398318
2014-11-17,-1.6930240578154843,-1.3027897923880358,-1.6772847664656123,-1.005792228703897,-1.0058282522997366,-0.9934389980705562
2014-11-18,-1.6930240578154843,-1.2645590953757821,-1.6776172626340338,-0.9844102525533791,-0.9844469636139718,-0.9905839165072566
2014-11-19,-1.6930240578154843,-1.2489799471456384,-1.6742835665252005,-0.9891587882157209,-0.9891953486117577,-1.0241574020971669
