,Copula-GARCH student
2014-07-25,-1.1004077162625348
2014-07-28,-1.096749829158246
2014-07-29,-1.0517524916831307
2014-07-30,-1.0318732196715212
2014-07-31,-0.9968657651613874
2014-08-01,-1.4894008492726991
2014-08-04,-1.4178439384992634
2014-08-05,-1.3768114234871678
2014-08-06,-1.3934700768692025
2014-08-07,-1.317324361929235
2014-08-08,-1.288244740866271
2014-08-11,-1.3093077693066841
2014-08-12,-1.2613394493975
2014-08-13,-1.2092065750013412
2014-08-14,-1.2152030705476158
2014-08-15,-1.169541625582402
2014-08-18,-1.1190979452697833
2014-08-19,-1.147596599067904
2014-08-20,-1.1152767084543074
2014-08-21,-1.0701146292289458
2014-08-22,-1.0298765929708522
2014-08-25,-0.9950771224110546
2014-08-26,-0.9745023952976565
2014-08-27,-0.9392597545377506
2014-08-28,-0.9107678626766541
2014-08-29,-0.8966456370722246
2014-09-02,-0.8844116464430921
2014-09-03,-0.8664536522636394
2014-09-04,-0.8766559644424529
2014-09-05,-0.8646217181787622
2014-09-08,-0.8658962277124744
2014-09-09,-0.856495551085524
2014-09-10,-0.9500351068908466
2014-09-11,-0.9514827443967732
2014-09-12,-0.9190110268369254
2014-09-15,-0.9562685628291634
2014-09-16,-1.0094921817716875
2014-09-17,-1.0326408605949364
2014-09-18,-0.992344615077998
2014-09-19,-0.9900374318237285
2014-09-22,-0.96380871299622
2014-09-23,-1.0839940460543531
2014-09-24,-1.0851802241337243
2014-09-25,-1.122898611372852
2014-09-26,-1.4649692054700283
2014-09-29,-1.4489015655745057
2014-09-30,-1.37208129598006
2014-10-01,-1.310047114886049
2014-10-02,-1.4817709879539664
2014-10-03,-1.3963573634881414
2014-10-06,-1.4174547361285545
2014-10-07,-1.3569071975316425
2014-10-08,-1.5374656725659124
2014-10-09,-1.7042154260795088
2014-10-10,-1.961137318936997
2014-10-13,-2.0871247415482093
2014-10-14,-2.138844598539682
2014-10-15,-1.9963659688519533
2014-10-16,-1.905012087622379
2014-10-17,-1.785721229861221
2014-10-20,-1.7681473034666022
2014-10-21,-1.7463867252725824
2014-10-22,-1.9532783783622285
2014-10-23,-1.8838233537528366
2014-10-24,-1.8913127404548995
2014-10-27,-1.8039231788358137
2014-10-28,-1.6991478690863682
2014-10-29,-1.7440121373229118
2014-10-30,-1.650245030267292
2014-10-31,-1.5732322931459621
2014-11-03,-1.6017756762277613
2014-11-04,-1.5123260295069094
2014-11-05,-1.4444212553574454
2014-11-06,-1.3795414853072783
2014-11-07,-1.3181237633508442
2014-11-10,-1.2533923831483107
2014-11-11,-1.202677141957918
2014-11-12,-1.1442903573557808
2014-11-13,-1.0955938806082508
2014-11-14,-1.0463005755931374
2014-11-17,-1.0035155174250758
2014-11-18,-0.9746701854708799
2014-11-19,-0.972990439364526
2014-11-20,-0.9672362066256114
2014-11-21,-0.9447143234299284
2014-11-24,-0.9311995784610951
2014-11-25,-0.9404820388099236
2014-11-26,-0.9122221477977798
2014-11-28,-0.9025589763113765
2014-12-01,-0.8863567785587119
2014-12-02,-1.039820115054228
2014-12-03,-1.0375785083453717
2014-12-04,-1.0080521976884504
2014-12-05,-0.9753846571170373
2014-12-08,-0.940533842960577
2014-12-09,-1.0195283186109632
2014-12-10,-0.9907848914150176
2014-12-11,-1.3442151273581355
2014-12-12,-1.287416476757157
2014-12-15,-1.4681394979995281
2014-12-16,-1.4640734089980036
2014-12-17,-1.5069588055896592
2014-12-18,-1.77302012186113
2014-12-19,-2.0572250640628913
2014-12-22,-1.908094743071323
2014-12-23,-1.7734093060298022
2014-12-24,-1.6547476919187223
2014-12-26,-1.540934087903543
2014-12-29,-1.458173867257249
2014-12-30,-1.3618708564696316
2014-12-31,-1.3214391887014338
2015-01-02,-1.3742209380977397
2015-01-05,-1.293897496321164
2015-01-06,-1.57333615059704
2015-01-07,-1.6040633398670001
2015-01-08,-1.6145012371164456
2015-01-09,-1.7791788925786596
2015-01-12,-1.715901250155218
2015-01-13,-1.670235931185052
2015-01-14,-1.5568642190780102
2015-01-15,-1.4900793977960678
2015-01-16,-1.5638213893322723
2015-01-20,-1.6187794210061157
2015-01-21,-1.5084157414612145
2015-01-22,-1.4142820664514817
2015-01-23,-1.5792415021783501
2015-01-26,-1.4898425168168614
2015-01-27,-1.3916772291720452
2015-01-28,-1.6185885030033917
2015-01-29,-1.6678050059083163
2015-01-30,-1.6212389335512791
2015-02-02,-1.6682962527140268
2015-02-03,-1.6528269449862174
2015-02-04,-1.6738209590536106
2015-02-05,-1.5677243273475967
2015-02-06,-1.5463072573036993
2015-02-09,-1.4597586139913263
2015-02-10,-1.3857174591019095
2015-02-11,-1.4285651107282407
2015-02-12,-1.3299568786830982
2015-02-13,-1.356937884454569
2015-02-17,-1.2943965271709348
2015-02-18,-1.2098189577628402
2015-02-19,-1.136782303732884
2015-02-20,-1.0798276307771155
2015-02-23,-1.0682999514286993
2015-02-24,-1.0137731660870488
2015-02-25,-0.9687361257150953
2015-02-26,-0.9312689349923383
2015-02-27,-0.9083522835501656
2015-03-02,-0.9198880875285076
2015-03-03,-0.9619067348808342
2015-03-04,-0.9861165692624098
2015-03-05,-0.9820769240957221
2015-03-06,-0.9423770525043813
2015-03-09,-1.2163550022847915
2015-03-10,-1.1502945991048266
