,Copula-GARCH sjc
2014-09-26,-1.4573834118025433
2014-09-29,-1.4413776885463239
2014-09-30,-1.3651554840398745
2014-10-01,-1.3034924857584753
2014-10-02,-1.4748812360825945
2014-10-03,-1.3898170061683874
2014-10-06,-1.4106805070873316
2014-10-07,-1.3504842741432204
2014-10-08,-1.5307967200882513
2014-10-09,-1.696627770094084
2014-10-10,-1.9527827375626594
2014-10-13,-2.0771939041836562
2014-10-14,-2.1289445295568576
2014-10-15,-1.9873281708754538
2014-10-16,-1.8965653368779778
2014-10-17,-1.777737090968698
2014-10-20,-1.7602596780704114
2014-10-21,-1.7389325709047396
2014-10-22,-1.9448629690395718
2014-10-23,-1.875822710508813
2014-10-24,-1.883297402356088
2014-10-27,-1.796270864839563
2014-10-28,-1.6920896784419133
2014-10-29,-1.7366286680194645
2014-10-30,-1.6433370079088463
2014-10-31,-1.5665685758044794
2014-11-03,-1.5950740035967175
2014-11-04,-1.5057409971988303
2014-11-05,-1.4382834960777644
2014-11-06,-1.3735770727600807
2014-11-07,-1.3121252681203806
2014-11-10,-1.2478040963991928
2014-11-11,-1.1970060375726386
2014-11-12,-1.138982552917864
2014-11-13,-1.0906511690501242
2014-11-14,-1.041511204269417
2014-11-17,-0.9988179305251139
2014-11-18,-0.9703341423367279
2014-11-19,-0.9682977648048002
2014-11-20,-0.9625694960799327
2014-11-21,-0.9400714428945675
2014-11-24,-0.926552953343868
2014-11-25,-0.9359255749848437
2014-11-26,-0.9077830715332996
2014-11-28,-0.8981662608278864
2014-12-01,-0.881973465027579
2014-12-02,-1.0347055030377483
2014-12-03,-1.0324073842969161
2014-12-04,-1.0028537994302713
2014-12-05,-0.9705091240226558
2014-12-08,-0.9352915742623956
2014-12-09,-1.01360823836302
2014-12-10,-0.9854162883538474
2014-12-11,-1.3368235825457468
2014-12-12,-1.2804483831665638
2014-12-15,-1.4595086947790619
2014-12-16,-1.4544144999603388
2014-12-17,-1.498269484009884
2014-12-18,-1.7608790704811017
2014-12-19,-2.044740894652771
2014-12-22,-1.8973206718206876
2014-12-23,-1.763806855277844
2014-12-24,-1.6462434722038148
2014-12-26,-1.5327338697338126
2014-12-29,-1.4504021735943367
2014-12-30,-1.3547604733150853
2014-12-31,-1.314602034255151
2015-01-02,-1.3673122733715408
2015-01-05,-1.2869627809754511
2015-01-06,-1.5650824617168184
2015-01-07,-1.5953246461912298
2015-01-08,-1.6050888010486437
2015-01-09,-1.7673699288634461
2015-01-12,-1.7048059643725186
2015-01-13,-1.661004966278093
2015-01-14,-1.5481615988761304
2015-01-15,-1.4819509540909197
2015-01-16,-1.5547403384452585
2015-01-20,-1.6095517744390757
2015-01-21,-1.4995558451241766
2015-01-22,-1.4061354480037436
2015-01-23,-1.5700433010911263
2015-01-26,-1.4807360561626877
2015-01-27,-1.384286861747678
2015-01-28,-1.6095371661702929
2015-01-29,-1.6574163784261708
2015-01-30,-1.6102064373525207
2015-02-02,-1.6569415915254984
2015-02-03,-1.642716854802762
2015-02-04,-1.6642049590316323
2015-02-05,-1.5570402544803514
2015-02-06,-1.5360660261713253
2015-02-09,-1.450801558855616
2015-02-10,-1.3779474690223792
2015-02-11,-1.4206757347922796
2015-02-12,-1.3230460066758762
2015-02-13,-1.350224530510813
2015-02-17,-1.2871961925971345
2015-02-18,-1.2034028245374984
2015-02-19,-1.1308859496460202
2015-02-20,-1.0741206865097963
2015-02-23,-1.062594546433689
2015-02-24,-1.0083762257942317
2015-02-25,-0.9635308841691628
2015-02-26,-0.9263248511059021
2015-02-27,-0.903433171233641
2015-03-02,-0.9148427836224245
2015-03-03,-0.9564731337736457
2015-03-04,-0.980892980368951
2015-03-05,-0.9765991711650767
2015-03-06,-0.9369123472241146
2015-03-09,-1.208927746256265
2015-03-10,-1.1427249368854013
2015-03-11,-1.4986905481332478
2015-03-12,-1.3917921820625374
2015-03-13,-1.4199981011612062
2015-03-16,-1.363930662487389
2015-03-17,-1.4391273674133254
2015-03-18,-1.3424903264595918
2015-03-19,-1.3751959794308104
2015-03-20,-1.2984537313475135
2015-03-23,-1.277496136144519
2015-03-24,-1.2052365533173448
2015-03-25,-1.1781638123503486
2015-03-26,-1.605651223029645
2015-03-27,-1.4910190609907663
2015-03-30,-1.391033808541886
2015-03-31,-1.4440436798912868
2015-04-01,-1.461916565368263
2015-04-02,-1.382836444441684
2015-04-06,-1.2905381177189457
2015-04-07,-1.2470769537468018
2015-04-08,-1.1765343551041194
2015-04-09,-1.1390055213908148
2015-04-10,-1.0949698332249553
2015-04-13,-1.0638957349541875
2015-04-14,-1.0425128503668322
2015-04-15,-0.9980727979300069
2015-04-16,-0.9968964034879618
2015-04-17,-0.9558253466270562
2015-04-20,-1.2308325757449785
2015-04-21,-1.2905382498421762
2015-04-22,-1.2124702692698759
2015-04-23,-1.1604239007966533
2015-04-24,-1.1007022222936258
2015-04-27,-1.0624226689987324
2015-04-28,-1.068869307883563
2015-04-29,-1.0211249024714926
2015-04-30,-1.031297045632756
2015-05-01,-1.2762476455052938
2015-05-04,-1.3548432255748635
2015-05-05,-1.2640499525127062
2015-05-06,-1.4525068551772726
2015-05-07,-1.3777372155164462
