,Copula-GARCH rotated_clayton
2015-08-06,-1.319218176202276
2015-08-07,-1.5553908373608498
2015-08-10,-1.486165792232968
2015-08-11,-1.6313107619867486
2015-08-12,-1.743576990650311
2015-08-13,-1.6277565921897799
2015-08-14,-1.5371188143635175
2015-08-17,-1.4634408138443402
2015-08-18,-1.4479715599239844
2015-08-19,-1.4191658812941956
2015-08-20,-1.4866831781957648
2015-08-21,-2.291083828502221
2015-08-24,-3.361919299843075
2015-08-25,-4.401332715890584
2015-08-26,-4.037075485709768
2015-08-27,-4.761312598660804
2015-08-28,-4.627980344398035
2015-08-31,-4.126848826694287
2015-09-01,-3.774599298874312
2015-09-02,-4.157252573238137
2015-09-03,-4.041233247856876
2015-09-04,-3.6190753315322906
2015-09-08,-3.4353047629642153
2015-09-09,-3.656192279959983
2015-09-10,-3.4487778877896305
2015-09-11,-3.124537279725697
2015-09-14,-2.816677476573928
2015-09-15,-2.5588939297742535
2015-09-16,-2.4771309589453097
2015-09-17,-2.294914542465987
2015-09-18,-2.085253164507215
2015-09-21,-2.292129509469319
2015-09-22,-2.0925946831304985
2015-09-23,-2.211325091179676
2015-09-24,-2.025471923658099
2015-09-25,-1.8781436666750162
2015-09-28,-1.8073818352054059
2015-09-29,-2.784853849371512
2015-09-30,-2.548463142705752
2015-10-01,-2.769987216537282
2015-10-02,-2.5177306347613717
2015-10-05,-2.560117961293454
2015-10-06,-2.644637460668957
2015-10-07,-2.4466450788443606
2015-10-08,-2.305655198740736
2015-10-09,-2.1644234022663484
2015-10-12,-1.9881439496773725
