,Copula-GARCH gaussian
2014-10-24,-2.708287240579294
2014-10-27,-2.5848082531339993
2014-10-28,-2.436680165645941
2014-10-29,-2.5005272939542857
2014-10-30,-2.367907543644974
2014-10-31,-2.259095500209696
2014-11-03,-2.2998267786270263
2014-11-04,-2.1733840640446322
2014-11-05,-2.077423550896318
2014-11-06,-1.9858591737517355
2014-11-07,-1.8993231565909812
2014-11-10,-1.8079061839449488
2014-11-11,-1.7360174706609115
2014-11-12,-1.6536044283086981
2014-11-13,-1.5847840045572035
2014-11-14,-1.5152597436231223
2014-11-17,-1.454950229588231
2014-11-18,-1.4141834936868753
2014-11-19,-1.4122252278003546
2014-11-20,-1.4039793169615116
2014-11-21,-1.3727370315848357
2014-11-24,-1.3537844222563151
2014-11-25,-1.3672886038279772
2014-11-26,-1.3273324299202607
2014-11-28,-1.3139725948651837
2014-12-01,-1.2907241852632902
2014-12-02,-1.5069249812486396
2014-12-03,-1.50412111122476
2014-12-04,-1.4622759156763174
2014-12-05,-1.4160425384510753
2014-12-08,-1.3672807747479492
2014-12-09,-1.478661665051224
2014-12-10,-1.437989568196086
2014-12-11,-1.937127961331204
2014-12-12,-1.8566394269062632
2014-12-15,-2.111842767115486
2014-12-16,-2.1058218638611805
2014-12-17,-2.165934737647434
2014-12-18,-2.5431781904289448
2014-12-19,-2.9457316717307602
2014-12-22,-2.7348975407909704
2014-12-23,-2.544537018525648
2014-12-24,-2.3767892246467004
2014-12-26,-2.215950033668585
2014-12-29,-2.09908547181738
2014-12-30,-1.9630500458858438
2014-12-31,-1.905824504321436
2015-01-02,-1.9806310512435856
2015-01-05,-1.8670159492549234
2015-01-06,-2.2617268194823303
2015-01-07,-2.304954068650463
2015-01-08,-2.31997621677234
2015-01-09,-2.552794451766824
2015-01-12,-2.4631367410572613
2015-01-13,-2.398382829174081
2015-01-14,-2.2380611113148787
2015-01-15,-2.1432511826962766
2015-01-16,-2.247381529444056
2015-01-20,-2.3255690538989735
2015-01-21,-2.170145473387886
2015-01-22,-2.0369543960751373
2015-01-23,-2.270563107745664
2015-01-26,-2.1443274597677684
2015-01-27,-2.005297731872999
2015-01-28,-2.325429080050489
2015-01-29,-2.3946029713619734
2015-01-30,-2.328930919884337
2015-02-02,-2.3953638155568795
2015-02-03,-2.3737441810392057
2015-02-04,-2.4036896079478027
2015-02-05,-2.253177054798187
2015-02-06,-2.2232176237723347
2015-02-09,-2.1007304137123914
2015-02-10,-1.9960350086950922
2015-02-11,-2.057098097090063
2015-02-12,-1.9177769977184587
2015-02-13,-1.9563609172419785
2015-02-17,-1.86848776505405
2015-02-18,-1.7491353563964118
2015-02-19,-1.646050189319134
2015-02-20,-1.5656109993112277
2015-02-23,-1.5494143726070837
2015-02-24,-1.472421974815003
