,Copula-MSM clayton
2014-10-31,-1.595085677320947
2014-11-03,-1.706490901537913
2014-11-04,-1.5763460277916348
2014-11-05,-1.4646328932271286
2014-11-06,-1.3688956094460691
2014-11-07,-1.350718633819341
2014-11-10,-1.2238133786084053
2014-11-11,-1.1435143045751683
2014-11-12,-1.0786462647223993
2014-11-13,-1.047029086447921
2014-11-14,-1.0156982899890792
2014-11-17,-0.8484296364752483
2014-11-18,-0.7966476597158137
2014-11-19,-1.0239515397158439
2014-11-20,-0.9202279572116642
2014-11-21,-0.9497968406884235
2014-11-24,-1.0181795223646986
2014-11-25,-1.0448313741257207
2014-11-26,-1.0092395505703726
2014-11-28,-1.0145413510667787
2014-12-01,-0.8421818808062052
2014-12-02,-1.1557988486651016
2014-12-03,-1.1335636315918471
2014-12-04,-1.0384257720678556
2014-12-05,-1.027936423168796
2014-12-08,-0.9934316226720894
2014-12-09,-1.0986216933855635
2014-12-10,-1.046712349324723
2014-12-11,-1.4429708301331112
2014-12-12,-1.3149429506491064
2014-12-15,-1.5820215546953689
2014-12-16,-1.5897154477244755
2014-12-17,-1.658856479278886
2014-12-18,-1.8092787826644245
2014-12-19,-1.8353410828072705
2014-12-22,-1.7413982740580753
2014-12-23,-1.653150965220947
2014-12-24,-1.5497241091862073
2014-12-26,-1.372350124072371
2014-12-29,-1.353791995588717
2014-12-30,-1.2220496619730952
2014-12-31,-1.2362979000156475
2015-01-02,-1.337968943541428
2015-01-05,-1.239452044252786
2015-01-06,-1.641646772180143
2015-01-07,-1.6713058783182786
2015-01-08,-1.6974634489996512
2015-01-09,-1.771674570868994
2015-01-12,-1.7355889832548073
2015-01-13,-1.7161682544815942
2015-01-14,-1.6149673011223786
2015-01-15,-1.5297568360578626
2015-01-16,-1.696773395681661
2015-01-20,-1.7430421878082423
2015-01-21,-1.6158143508241936
2015-01-22,-1.5379351644155077
2015-01-23,-1.7292781565918167
2015-01-26,-1.614759112584728
2015-01-27,-1.510493248908118
2015-01-28,-1.738805498980912
2015-01-29,-1.7426271369284398
2015-01-30,-1.6923400145584444
2015-02-02,-1.7152866182054494
2015-02-03,-1.7017383439168616
2015-02-04,-1.7175431382304787
2015-02-05,-1.636615893737841
2015-02-06,-1.6586707433898067
2015-02-09,-1.5938297997160982
2015-02-10,-1.4761861598557386
2015-02-11,-1.6273892340356413
2015-02-12,-1.5152491072772465
2015-02-13,-1.591289688670496
2015-02-17,-1.5184681202003263
2015-02-18,-1.3784124363474188
2015-02-19,-1.2281091350058628
2015-02-20,-1.1190342673554432
2015-02-23,-1.1102917403374866
2015-02-24,-1.02851255506462
2015-02-25,-0.9752749839130617
2015-02-26,-0.9413157394490788
2015-02-27,-0.9253087891222835
2015-03-02,-0.9404886166277858
2015-03-03,-0.9957323860139562
2015-03-04,-1.0062186537796345
2015-03-05,-0.9394436079614947
2015-03-06,-0.9011948164908661
2015-03-09,-1.3441453725280634
2015-03-10,-1.2559842592948254
2015-03-11,-1.5492957212630472
2015-03-12,-1.440555546439985
2015-03-13,-1.4879972462361468
2015-03-16,-1.442948446962149
2015-03-17,-1.5334773892909448
2015-03-18,-1.4337034518474243
2015-03-19,-1.4875326999930196
2015-03-20,-1.4039497535585836
2015-03-23,-1.3805643479566285
2015-03-24,-1.331768438608109
2015-03-25,-1.3057677438268043
2015-03-26,-1.676745229260139
2015-03-27,-1.5674840236433885
2015-03-30,-1.4854802972986383
2015-03-31,-1.5882981394039997
2015-04-01,-1.6136157409367713
2015-04-02,-1.5442637593639668
2015-04-06,-1.4356086964594068
2015-04-07,-1.370173584508879
2015-04-08,-1.2883589198566883
2015-04-09,-1.227450905066322
2015-04-10,-1.0844706742332517
2015-04-13,-1.031932501215215
2015-04-14,-1.0098456079759228
2015-04-15,-0.9474448695073577
2015-04-16,-0.9489135933464466
2015-04-17,-0.9109368760481121
2015-04-20,-1.3863339437133084
2015-04-21,-1.5056231372854414
2015-04-22,-1.3767201403733984
2015-04-23,-1.2035169066693938
2015-04-24,-1.1044392118134305
2015-04-27,-1.0648591223199688
2015-04-28,-1.0695869239484341
2015-04-29,-1.0077528771066038
2015-04-30,-1.0272532168563102
2015-05-01,-1.321384929267253
2015-05-04,-1.543266602706319
2015-05-05,-1.354925161467973
2015-05-06,-1.6098452151203495
2015-05-07,-1.566581787801772
2015-05-08,-1.473978881009645
2015-05-11,-1.5555003918150567
2015-05-12,-1.532107368666562
2015-05-13,-1.4343809543266446
2015-05-14,-1.2832249252077808
2015-05-15,-1.458000448424075
2015-05-18,-1.3587638077631141
2015-05-19,-1.2649257311880726
2015-05-20,-1.1399922306476427
2015-05-21,-1.0450177854651455
2015-05-22,-0.9971904470038695
2015-05-26,-0.9595491210868589
2015-05-27,-1.1930833519407997
2015-05-28,-1.4292552461023273
2015-05-29,-1.2815308139245343
2015-06-01,-1.2163359591242775
2015-06-02,-1.104257806826622
2015-06-03,-1.0309325780738618
2015-06-04,-0.9946275948332955
2015-06-05,-1.1138398957035263
2015-06-08,-1.031676026374723
2015-06-09,-1.1128317525624676
2015-06-10,-1.0630933116058376
2015-06-11,-1.2373233259971548
2015-06-12,-1.139044100660089
2015-06-15,-1.186570333656295
2015-06-16,-1.1429061405971392
2015-06-17,-1.0959052085663972
2015-06-18,-1.036642507852986
2015-06-19,-1.1996611299293423
2015-06-22,-1.1588092896574105
2015-06-23,-1.1427914237891281
2015-06-24,-1.0606180036386639
2015-06-25,-1.1309703448281165
2015-06-26,-1.0675675881308764
2015-06-29,-1.0525827807979529
2015-06-30,-1.7063063224698916
2015-07-01,-1.6036424270132912
2015-07-02,-1.5491932470228786
2015-07-06,-1.435928563663195
2015-07-07,-1.3410528433523774
2015-07-08,-1.2515289835791925
2015-07-09,-1.6284183281241857
2015-07-10,-1.503770211445164
2015-07-13,-1.6404215903705228
2015-07-14,-1.6861014233278289
2015-07-15,-1.6180774136018106
2015-07-16,-1.5152898598259301
2015-07-17,-1.5501906848506324
2015-07-20,-1.5010595256376293
2015-07-21,-1.35761701276962
2015-07-22,-1.266077218366948
2015-07-23,-1.2363598991874227
2015-07-24,-1.2209703396067324
2015-07-27,-1.4504021374711076
2015-07-28,-1.4594922537846506
2015-07-29,-1.5737531012590635
2015-07-30,-1.5175518660515266
2015-07-31,-1.3592298777566947
2015-08-03,-1.2519072599969687
2015-08-04,-1.166699147610113
2015-08-05,-1.114170304888115
2015-08-06,-1.06643186883319
2015-08-07,-1.2659180299740478
2015-08-10,-1.187427028849713
2015-08-11,-1.434261393961163
2015-08-12,-1.560343754805793
2015-08-13,-1.4248087505861653
2015-08-14,-1.2867260939862113
2015-08-17,-1.1974795658238508
2015-08-18,-1.1955213198299373
2015-08-19,-1.1630189302209963
2015-08-20,-1.240884692075443
2015-08-21,-1.8248945161196475
2015-08-24,-2.3378434939846042
2015-08-25,-2.901167651614456
2015-08-26,-2.741826286289874
2015-08-27,-3.164429997767066
2015-08-28,-3.1640962109479953
2015-08-31,-2.9237003577984844
2015-09-01,-2.7610343503477597
2015-09-02,-3.0482798991264155
2015-09-03,-3.0354489647594676
2015-09-04,-2.830777889829736
2015-09-08,-2.701966111716357
2015-09-09,-2.9283538272420846
2015-09-10,-2.8241119679915596
2015-09-11,-2.6525020569045186
2015-09-14,-2.4144652557511193
2015-09-15,-2.1931038425862606
2015-09-16,-2.186969025545954
2015-09-17,-2.055654910000744
2015-09-18,-1.8688003584777877
2015-09-21,-2.0541614481086308
2015-09-22,-1.8975784356631598
2015-09-23,-2.0115206049421244
2015-09-24,-1.8583711762087818
2015-09-25,-1.7434013783782412
2015-09-28,-1.6948590573020637
2015-09-29,-2.377615040097945
2015-09-30,-2.195122879245273
2015-10-01,-2.407402913096515
2015-10-02,-2.1928068906839706
2015-10-05,-2.2619956280342253
2015-10-06,-2.350798741337675
2015-10-07,-2.184836270961043
2015-10-08,-2.0694277310345774
2015-10-09,-1.953906688102852
2015-10-12,-1.8195545492484178
