,RiskMetrics
2015-05-28,-1.1902059596134682
2015-05-29,-1.155481970413404
2015-06-01,-1.1453757063948484
2015-06-02,-1.114340329649804
2015-06-03,-1.0813612664453067
2015-06-04,-1.0567656667404284
2015-06-05,-1.0775007510534487
2015-06-08,-1.044707947505341
2015-06-09,-1.061583667482481
2015-06-10,-1.0294944608303587
2015-06-11,-1.112796600543675
2015-06-12,-1.080458269882029
2015-06-15,-1.080856954185577
2015-06-16,-1.062904098808867
2015-06-17,-1.0530174069089584
2015-06-18,-1.023836712372025
2015-06-19,-1.0972056263161525
2015-06-22,-1.0772502194641664
2015-06-23,-1.0781288732186498
2015-06-24,-1.0459291883633781
2015-06-25,-1.0564743518171844
2015-06-26,-1.0291817811526094
2015-06-29,-1.0066651286364492
2015-06-30,-1.3375739147754737
2015-07-01,-1.307732029537924
2015-07-02,-1.2913491631659808
2015-07-06,-1.2522014292120243
2015-07-07,-1.2229841515524964
2015-07-08,-1.1944869190873588
2015-07-09,-1.3506177803725876
2015-07-10,-1.3130838309675557
2015-07-13,-1.3879529353571503
2015-07-14,-1.4415849040517001
2015-07-15,-1.4151378693892787
2015-07-16,-1.3725617218056896
2015-07-17,-1.3933725179222316
2015-07-20,-1.3663406746355502
2015-07-21,-1.3256304232854792
2015-07-22,-1.2915585673141106
2015-07-23,-1.2664334760764215
2015-07-24,-1.2463100709398527
2015-07-27,-1.2874161423254815
2015-07-28,-1.2863577538417958
2015-07-29,-1.3240517004932713
2015-07-30,-1.3052015248599824
2015-07-31,-1.2672469560453432
2015-08-03,-1.2295700655534052
2015-08-04,-1.1968470906610047
2015-08-05,-1.1634314980357898
2015-08-06,-1.1452154397497354
2015-08-07,-1.2123329408241827
2015-08-10,-1.1804860311241119
2015-08-11,-1.2441226656642657
2015-08-12,-1.2880607022656145
2015-08-13,-1.2498020076643337
2015-08-14,-1.2136911530702974
2015-08-17,-1.1847027194277893
2015-08-18,-1.181634443203076
2015-08-19,-1.159903786239768
2015-08-20,-1.1714527463901334
2015-08-21,-1.5172140900018103
2015-08-24,-2.012176505310091
2015-08-25,-2.5197765681476385
2015-08-26,-2.4697473769529457
2015-08-27,-2.884229275303166
2015-08-28,-2.9603403967477515
2015-08-31,-2.871202482205526
2015-09-01,-2.8105200824007768
2015-09-02,-2.9798033819780705
2015-09-03,-3.0126192770519267
2015-09-04,-2.9212138914025254
2015-09-08,-2.8801659578010974
2015-09-09,-2.980589361979785
2015-09-10,-2.9353575290085994
2015-09-11,-2.8590535460532958
2015-09-14,-2.7791233789707666
2015-09-15,-2.6987405321540203
2015-09-16,-2.6611140131169817
2015-09-17,-2.596663377023769
2015-09-18,-2.5177652588592316
2015-09-21,-2.514877204247137
2015-09-22,-2.440270774874878
2015-09-23,-2.4297673574437946
2015-09-24,-2.356465072216209
2015-09-25,-2.289300370743022
2015-09-28,-2.2299076391380717
2015-09-29,-2.446920925570757
2015-09-30,-2.374226704312478
2015-10-01,-2.4483728686636415
2015-10-02,-2.374813785008883
2015-10-05,-2.388336146143242
2015-10-06,-2.4125509358013475
2015-10-07,-2.348598821348883
2015-10-08,-2.302585046899287
2015-10-09,-2.247445557571313
2015-10-12,-2.1811304033604735
