,Copula-GARCH frank
2015-03-02,-1.2701313662611904
2015-03-03,-1.3269838944520784
2015-03-04,-1.338637704547918
2015-03-05,-1.3353874044961598
2015-03-06,-1.2830384543386817
2015-03-09,-1.6456837843519159
2015-03-10,-1.5564425030223936
2015-03-11,-2.0310237443029604
2015-03-12,-1.8879371225883432
2015-03-13,-1.9514541716646638
2015-03-16,-1.8510032260277336
2015-03-17,-1.9783252331912204
2015-03-18,-1.8228637206758527
2015-03-19,-1.8680855783627972
2015-03-20,-1.7642857161884213
2015-03-23,-1.7603071877811682
2015-03-24,-1.6630116585570234
2015-03-25,-1.605607163132372
2015-03-26,-2.1760284556043183
2015-03-27,-2.050133975662373
2015-03-30,-1.8925350120745055
2015-03-31,-1.9863754501610504
2015-04-01,-1.9800975001606138
2015-04-02,-1.902667141873693
2015-04-06,-1.752431240413844
2015-04-07,-1.6964265429281176
2015-04-08,-1.6020304716641711
2015-04-09,-1.5538059129737518
2015-04-10,-1.4941347553909483
2015-04-13,-1.451926278525637
2015-04-14,-1.423184192123266
2015-04-15,-1.3643577305819217
2015-04-16,-1.3810127726960078
2015-04-17,-1.3254589516842872
2015-04-20,-1.6733357597786065
2015-04-21,-1.7544960938983563
2015-04-22,-1.6485594149899754
2015-04-23,-1.5809939767623225
2015-04-24,-1.5211224764405675
2015-04-27,-1.471204117873685
2015-04-28,-1.459333753304023
2015-04-29,-1.395225830208069
2015-04-30,-1.409362386480182
2015-05-01,-1.7590502605679805
2015-05-04,-1.8399616922851407
2015-05-05,-1.7161894359101695
2015-05-06,-1.9715906979594071
2015-05-07,-1.866731946538681
2015-05-08,-1.7633713337052102
2015-05-11,-1.8997579312539392
2015-05-12,-1.82985901816422
2015-05-13,-1.7366222816749572
2015-05-14,-1.6042268639521962
2015-05-15,-1.7733277172737958
2015-05-18,-1.657117702482761
2015-05-19,-1.5630124312661136
2015-05-20,-1.4804883662282249
2015-05-21,-1.4077716382001493
2015-05-22,-1.3502057356673265
2015-05-26,-1.3063130153419535
2015-05-27,-1.5500408656561697
2015-05-28,-1.6938867919172398
2015-05-29,-1.617309204938495
2015-06-01,-1.6188226132180805
2015-06-02,-1.5053313898974892
2015-06-03,-1.4367687894919574
2015-06-04,-1.3797239971064934
2015-06-05,-1.501943734257794
2015-06-08,-1.4277183512200151
2015-06-09,-1.5093837466591016
2015-06-10,-1.4348297516695465
2015-06-11,-1.62371690596517
2015-06-12,-1.5526565096069036
2015-06-15,-1.5827323465343308
2015-06-16,-1.5301153690945637
2015-06-17,-1.5142734387479693
2015-06-18,-1.4412544735269106
2015-06-19,-1.603376301725471
2015-06-22,-1.571418424621098
2015-06-23,-1.5519406933108246
2015-06-24,-1.4536395668597326
2015-06-25,-1.540004848183014
2015-06-26,-1.4646746953147678
2015-06-29,-1.4571594467945173
2015-06-30,-2.2523880088908266
2015-07-01,-2.0974462758214787
2015-07-02,-1.9928573932724511
2015-07-06,-1.8818134053181157
2015-07-07,-1.7718171527246949
2015-07-08,-1.6890934075766333
2015-07-09,-2.1006436530484884
2015-07-10,-1.9527989130021297
2015-07-13,-2.0949441092489103
2015-07-14,-2.155023390875743
2015-07-15,-2.0071607673675698
2015-07-16,-1.8971610950730597
2015-07-17,-1.887370448288033
2015-07-20,-1.8333262113867101
2015-07-21,-1.7030394053756246
2015-07-22,-1.6589068571123045
2015-07-23,-1.6036936625606868
2015-07-24,-1.590795255657682
2015-07-27,-1.7525087189379411
2015-07-28,-1.7618259575537818
2015-07-29,-1.843436843733731
2015-07-30,-1.7819559020329572
2015-07-31,-1.6950734517733363
2015-08-03,-1.6065511148021216
2015-08-04,-1.521724158042943
2015-08-05,-1.4777692467543921
2015-08-06,-1.4226933943843107
2015-08-07,-1.6800639417211227
2015-08-10,-1.622889093429503
2015-08-11,-1.785165679539096
2015-08-12,-1.881429354635322
2015-08-13,-1.780662074904721
2015-08-14,-1.6606509533190401
2015-08-17,-1.5820168983562581
2015-08-18,-1.5648323843210847
2015-08-19,-1.53334972247611
2015-08-20,-1.60746650144625
2015-08-21,-2.4782922348742074
2015-08-24,-3.628483422374882
2015-08-25,-4.748929674216581
2015-08-26,-4.411114254247572
2015-08-27,-5.139523640262968
2015-08-28,-5.056564231191085
2015-08-31,-4.4551300618351535
2015-09-01,-4.124361081814225
2015-09-02,-4.485917333673758
2015-09-03,-4.3619126512779385
2015-09-04,-3.896229374136668
2015-09-08,-3.754524639438755
2015-09-09,-3.989004135092481
2015-09-10,-3.7287831013967843
2015-09-11,-3.414772081123115
2015-09-14,-3.0520193775734765
2015-09-15,-2.7607945719040896
2015-09-16,-2.7086106714305176
2015-09-17,-2.4798628444499635
2015-09-18,-2.255217097948669
2015-09-21,-2.509094779113907
2015-09-22,-2.2890579632419357
2015-09-23,-2.391595936185125
2015-09-24,-2.1854864844057573
2015-09-25,-2.027587987114057
2015-09-28,-1.9481260430892808
2015-09-29,-3.005303263843028
2015-09-30,-2.783393558447009
2015-10-01,-2.9842316243086744
2015-10-02,-2.7172211472659287
2015-10-05,-2.761433986246696
2015-10-06,-2.856524620235014
2015-10-07,-2.6408320657968565
2015-10-08,-2.5186762484243355
2015-10-09,-2.3655336480701985
2015-10-12,-2.1730408305683695
