,CCC-GARCH
2015-07-14,-1.5846239990895712
2015-07-15,-1.4927883514319151
2015-07-16,-1.392467119004884
2015-07-17,-1.4045772070702809
2015-07-20,-1.3439446101527504
2015-07-21,-1.2619026848717931
2015-07-22,-1.2144715063813427
2015-07-23,-1.1877614247101274
2015-07-24,-1.1786040185318607
2015-07-27,-1.3012376474054315
2015-07-28,-1.3084876481934788
2015-07-29,-1.3719888892400298
2015-07-30,-1.3226761695834615
2015-07-31,-1.2422670398367643
2015-08-03,-1.1763663987059954
2015-08-04,-1.127361556881295
2015-08-05,-1.0799988349775984
2015-08-06,-1.0547386166012014
2015-08-07,-1.2429072668604602
2015-08-10,-1.1874263488138144
2015-08-11,-1.308939488523149
2015-08-12,-1.4000453960341936
2015-08-13,-1.305843821272432
2015-08-14,-1.2321682157199103
2015-08-17,-1.1724306089102599
2015-08-18,-1.159188861489363
2015-08-19,-1.1351860154196416
2015-08-20,-1.191860812739413
2015-08-21,-1.844345044923588
2015-08-24,-2.715114671526843
2015-08-25,-3.5579853511431017
2015-08-26,-3.2624801568126607
2015-08-27,-3.850075710154878
2015-08-28,-3.7418614941208874
2015-08-31,-3.335083761739031
2015-09-01,-3.0488811487208736
2015-09-02,-3.3592530008577532
2015-09-03,-3.2647560644718383
2015-09-04,-2.921757724230283
2015-09-08,-2.773870866220891
2015-09-09,-2.952801576147315
2015-09-10,-2.784503431925094
2015-09-11,-2.5209263681747767
2015-09-14,-2.270450340674794
2015-09-15,-2.0607114146303545
2015-09-16,-1.9950073313523016
2015-09-17,-1.8472714749635635
2015-09-18,-1.6768706786397496
2015-09-21,-1.8458063006653829
2015-09-22,-1.6824802929868863
2015-09-23,-1.778784371070729
2015-09-24,-1.628428658114579
2015-09-25,-1.5085209891496845
2015-09-28,-1.4490590119468838
2015-09-29,-2.2435336856835817
2015-09-30,-2.0512049471659046
2015-10-01,-2.230441569298886
2015-10-02,-2.025762263786905
2015-10-05,-2.060232811143459
2015-10-06,-2.1305784284578158
2015-10-07,-1.969413808742854
2015-10-08,-1.8546512372746544
2015-10-09,-1.7407205552466762
2015-10-12,-1.597327506091993
