,Copula-GARCH student
2015-04-10,-1.59839415408825
2015-04-13,-1.5537222683791414
2015-04-14,-1.523361350189812
2015-04-15,-1.4597420436660484
2015-04-16,-1.4580950564566912
2015-04-17,-1.3995305228617663
2015-04-20,-1.790373966191097
2015-04-21,-1.8753304153749335
2015-04-22,-1.7642557296721166
2015-04-23,-1.6901951834001356
2015-04-24,-1.605163100762321
2015-04-27,-1.5521759681111431
2015-04-28,-1.560519759093176
2015-04-29,-1.492332802864794
2015-04-30,-1.5062751483740027
2015-05-01,-1.8542962860661185
2015-05-04,-1.966839875144156
2015-05-05,-1.8376070338518231
2015-05-06,-2.1057739022549167
2015-05-07,-1.9989211153057784
2015-05-08,-1.8843097705851772
2015-05-11,-2.031210493770691
2015-05-12,-1.9309845472738996
2015-05-13,-1.8326775719519566
2015-05-14,-1.7153667747511703
2015-05-15,-1.8713026112930078
2015-05-18,-1.7487772879748638
2015-05-19,-1.6699652005308652
2015-05-20,-1.582739388386568
2015-05-21,-1.5055773975254774
2015-05-22,-1.4434444870830838
2015-05-26,-1.397617798073199
2015-05-27,-1.6611995678318472
2015-05-28,-1.8108048824680265
2015-05-29,-1.7063630337407654
2015-06-01,-1.7083775875316156
2015-06-02,-1.6106081575560072
2015-06-03,-1.5352536934553216
2015-06-04,-1.4743311995361967
2015-06-05,-1.607158353944522
2015-06-08,-1.5276663318429455
2015-06-09,-1.61400401312954
2015-06-10,-1.5341078279376175
2015-06-11,-1.7378095589416325
2015-06-12,-1.6389694663747698
2015-06-15,-1.670777031531917
2015-06-16,-1.6377954980929241
2015-06-17,-1.5986480828316092
2015-06-18,-1.5215714320695797
2015-06-19,-1.692385329928866
2015-06-22,-1.6588425784219065
2015-06-23,-1.638395383696957
2015-06-24,-1.5538771843772565
2015-06-25,-1.6258009969290048
2015-06-26,-1.5673964374613638
2015-06-29,-1.5378078776976984
2015-06-30,-2.408751725205186
2015-07-01,-2.241288120843484
2015-07-02,-2.1295658843922656
2015-07-06,-1.9857540489392385
2015-07-07,-1.893322619306949
2015-07-08,-1.8107190883573812
2015-07-09,-2.242858013113814
2015-07-10,-2.0890455156489534
2015-07-13,-2.2105279748748137
2015-07-14,-2.273634293035317
2015-07-15,-2.1437458180234423
2015-07-16,-2.0017958886529486
2015-07-17,-2.0192228095422933
2015-07-20,-1.933448808403358
2015-07-21,-1.8171589056212778
2015-07-22,-1.7500152173755377
2015-07-23,-1.7118335870654964
2015-07-24,-1.698697772792317
2015-07-27,-1.872212658330143
2015-07-28,-1.8823261736709993
2015-07-29,-1.9726704121388872
2015-07-30,-1.902838857626886
2015-07-31,-1.7891454519360666
2015-08-03,-1.6957874576426386
2015-08-04,-1.626346843428296
2015-08-05,-1.5600460650996062
2015-08-06,-1.5242844839754621
2015-08-07,-1.7894235756165162
2015-08-10,-1.7107773755220939
2015-08-11,-1.883271180392397
2015-08-12,-2.0117598414270565
2015-08-13,-1.878241821200698
2015-08-14,-1.7737792859424586
2015-08-17,-1.689419596142579
2015-08-18,-1.6710312002255452
2015-08-19,-1.6368428527752548
2015-08-20,-1.7168573344095364
2015-08-21,-2.640356575158103
2015-08-24,-3.8736410662836613
2015-08-25,-5.06744776284509
2015-08-26,-4.649066511541223
2015-08-27,-5.482101385744866
2015-08-28,-5.329331054086478
2015-08-31,-4.753381521634824
2015-09-01,-4.347884595773711
2015-09-02,-4.787323567358752
2015-09-03,-4.653914584391546
2015-09-04,-4.168190201600595
2015-09-08,-3.958047547216478
2015-09-09,-4.211801014075265
2015-09-10,-3.973790790849077
2015-09-11,-3.6005288728886504
2015-09-14,-3.2461579135484633
2015-09-15,-2.949609613815919
2015-09-16,-2.8566562971014515
2015-09-17,-2.6476996229728837
2015-09-18,-2.406598850428759
2015-09-21,-2.6467612365567263
2015-09-22,-2.4152817980026424
2015-09-23,-2.551176954542076
2015-09-24,-2.3376853814116236
2015-09-25,-2.1679804816480086
2015-09-28,-2.0834135726594245
2015-09-29,-3.2076460505378517
2015-09-30,-2.9349263544739004
2015-10-01,-3.1894557618539277
2015-10-02,-2.8990701453537726
2015-10-05,-2.947625793447243
2015-10-06,-3.047504507835772
2015-10-07,-2.8190116136103924
2015-10-08,-2.6566981295171925
2015-10-09,-2.4955137901474513
2015-10-12,-2.2924952851817557
