,Copula-GARCH gaussian
2014-12-12,-1.2873896201400377
2014-12-15,-1.4681055524745237
2014-12-16,-1.4640436256786513
2014-12-17,-1.5069233355176828
2014-12-18,-1.7729824894316248
2014-12-19,-2.057183425868981
2014-12-22,-1.9080583611014221
2014-12-23,-1.7733731030335242
2014-12-24,-1.6547218015972773
2014-12-26,-1.5409099762746092
2014-12-29,-1.4581553790391315
2014-12-30,-1.361850510845227
2014-12-31,-1.321418561554871
2015-01-02,-1.3742032199582548
2015-01-05,-1.2938815745869054
2015-01-06,-1.5733176673401574
2015-01-07,-1.6040450504052184
2015-01-08,-1.6144780549413007
2015-01-09,-1.7791514872260425
2015-01-12,-1.7158722777113558
2015-01-13,-1.6702086023211538
2015-01-14,-1.556838935277552
2015-01-15,-1.4900583253143007
2015-01-16,-1.5637983696045221
2015-01-20,-1.6187541052028243
2015-01-21,-1.508389099957539
2015-01-22,-1.414258992009173
2015-01-23,-1.579215209599528
2015-01-26,-1.4898223234844334
2015-01-27,-1.3916545615786684
2015-01-28,-1.618566862567572
2015-01-29,-1.6677856797949002
2015-01-30,-1.621222484130587
2015-02-02,-1.668282559716695
2015-02-03,-1.6528178852070285
2015-02-04,-1.6738150787860346
2015-02-05,-1.5677038233432727
2015-02-06,-1.5462890411137786
2015-02-09,-1.4597448330263745
2015-02-10,-1.3857054065347247
2015-02-11,-1.4285526109954667
2015-02-12,-1.3299467230308286
2015-02-13,-1.3569264667551308
2015-02-17,-1.2943860541303813
2015-02-18,-1.2098080278102616
2015-02-19,-1.1367702782743487
2015-02-20,-1.0798169273625895
2015-02-23,-1.068289208118704
2015-02-24,-1.0137616705542738
2015-02-25,-0.9687254707165549
2015-02-26,-0.9312554972667559
2015-02-27,-0.9083385304322373
2015-03-02,-0.9198747688079671
2015-03-03,-0.9618915210731294
2015-03-04,-0.9861003109113619
2015-03-05,-0.9820618297946787
2015-03-06,-0.9423623472879908
2015-03-09,-1.2163336598484276
2015-03-10,-1.1502720620001683
2015-03-11,-1.5077702955854513
2015-03-12,-1.3997420661736217
2015-03-13,-1.4277607341503313
2015-03-16,-1.3714717574570638
2015-03-17,-1.4478922258719573
2015-03-18,-1.350792426700994
2015-03-19,-1.384258108546948
2015-03-20,-1.3067663289581268
2015-03-23,-1.2858053393462394
2015-03-24,-1.2136680917734877
2015-03-25,-1.1869472719206822
2015-03-26,-1.6168736014944516
2015-03-27,-1.5017344442823282
2015-03-30,-1.4013050834547718
2015-03-31,-1.4543411687668122
2015-04-01,-1.4724084610609909
2015-04-02,-1.3924963233483079
2015-04-06,-1.2995263009250373
2015-04-07,-1.2560590152789954
2015-04-08,-1.1849461744354217
2015-04-09,-1.1473715060432654
2015-04-10,-1.103089907610337
2015-04-13,-1.071803086239982
2015-04-14,-1.0502777742920466
2015-04-15,-1.0054252153030263
2015-04-16,-1.0042674322296923
2015-04-17,-0.9629657692248283
2015-04-20,-1.2397101740083787
2015-04-21,-1.2995775655972002
2015-04-22,-1.2211240342487937
2015-04-23,-1.1691242001183852
2015-04-24,-1.1090292671859443
2015-04-27,-1.0705955578511477
2015-04-28,-1.0769498249831078
2015-04-29,-1.0288919157730814
2015-04-30,-1.0391597786340663
2015-05-01,-1.2855606515300153
2015-05-04,-1.364814894461423
2015-05-05,-1.2735486328862433
2015-05-06,-1.4633419778291823
2015-05-07,-1.388035402286954
2015-05-08,-1.3070781323287617
2015-05-11,-1.4107190150134323
2015-05-12,-1.3400610564803364
2015-05-13,-1.2710967602621284
2015-05-14,-1.188229639392412
2015-05-15,-1.297962820046904
2015-05-18,-1.2112829473300928
2015-05-19,-1.155535325841802
2015-05-20,-1.0938185368147344
