,Copula-GARCH frank
2014-11-21,-0.9511595302346385
2014-11-24,-0.9299928655569368
2014-11-25,-0.9470019426654325
2014-11-26,-0.9100914684851625
2014-11-28,-0.9012698711424642
2014-12-01,-0.8848935155813685
2014-12-02,-1.0380341931000137
2014-12-03,-1.0353898741500696
2014-12-04,-1.004134764170203
2014-12-05,-0.9739778898947162
2014-12-08,-0.9389759450688495
2014-12-09,-1.0196434479326653
2014-12-10,-0.9875406946075764
2014-12-11,-1.343782551478502
2014-12-12,-1.2845481274123158
2014-12-15,-1.4664462646712384
2014-12-16,-1.464431463584028
2014-12-17,-1.5177227024394098
2014-12-18,-1.7784757548059003
2014-12-19,-2.0717341215321463
2014-12-22,-1.9216175634533048
2014-12-23,-1.7738406546739258
2014-12-24,-1.6506603024213482
2014-12-26,-1.5520247078365326
2014-12-29,-1.4687098452732945
2014-12-30,-1.3717822136866182
2014-12-31,-1.3198623494496378
2015-01-02,-1.3747333416759637
2015-01-05,-1.2933793843446728
2015-01-06,-1.5709500640545
2015-01-07,-1.6016646719515577
2015-01-08,-1.6262022058537993
2015-01-09,-1.7919410597118663
2015-01-12,-1.7137410876646333
2015-01-13,-1.667884775335812
2015-01-14,-1.5547434466614984
2015-01-15,-1.4893317059701903
2015-01-16,-1.5633112334456243
2015-01-20,-1.6167523396036838
2015-01-21,-1.5062177482767765
2015-01-22,-1.4122468487924
2015-01-23,-1.5737209161715375
2015-01-26,-1.4841520727959898
2015-01-27,-1.4020227059767965
2015-01-28,-1.6155440650890085
2015-01-29,-1.6801393034329848
2015-01-30,-1.6189841581344513
2015-02-02,-1.6806393377820652
2015-02-03,-1.6502734443183167
2015-02-04,-1.6707632658083487
2015-02-05,-1.5778266833452879
2015-02-06,-1.5435029320708036
2015-02-09,-1.4565645462144603
2015-02-10,-1.3805159773556017
2015-02-11,-1.4260556382151204
2015-02-12,-1.3275932435634246
2015-02-13,-1.3547621643410699
2015-02-17,-1.2926013411885404
2015-02-18,-1.2066769651559892
2015-02-19,-1.14544702484832
2015-02-20,-1.0881303497348664
2015-02-23,-1.0765521261054811
2015-02-24,-1.013393476872465
2015-02-25,-0.9677202812504785
2015-02-26,-0.9363218084486583
2015-02-27,-0.9155913635609283
2015-03-02,-0.9272047288067412
2015-03-03,-0.9694959320881618
2015-03-04,-0.9827810064488045
2015-03-05,-0.9804061204918756
2015-03-06,-0.9407687711734828
2015-03-09,-1.2145240969066
2015-03-10,-1.1477450843680561
2015-03-11,-1.504896853239381
2015-03-12,-1.3975134046985644
2015-03-13,-1.4389759430324276
2015-03-16,-1.3693740267108039
2015-03-17,-1.4592146361134921
2015-03-18,-1.3483359764865188
2015-03-19,-1.382042839833188
2015-03-20,-1.3042425772995274
2015-03-23,-1.295967500207698
2015-03-24,-1.2233511938325192
2015-03-25,-1.1851737322025688
2015-03-26,-1.6142162170349685
2015-03-27,-1.5135861039103153
2015-03-30,-1.4002923953134823
2015-03-31,-1.4658872250839754
2015-04-01,-1.468040661915095
2015-04-02,-1.4035940171275798
2015-04-06,-1.296476671510102
2015-04-07,-1.254054380513025
2015-04-08,-1.1830486471936001
2015-04-09,-1.1460735244396383
2015-04-10,-1.1012039014944432
2015-04-13,-1.0700092769037401
2015-04-14,-1.0486029171688533
2015-04-15,-1.004139283909063
2015-04-16,-1.012607665850873
2015-04-17,-0.9709737028945042
2015-04-20,-1.237207261602793
2015-04-21,-1.2977490139174501
2015-04-22,-1.2182501542884927
2015-04-23,-1.167296936580894
2015-04-24,-1.1177824342013885
2015-04-27,-1.0791386909669496
2015-04-28,-1.0749074729370842
2015-04-29,-1.026855913088069
2015-04-30,-1.0375412048747192
2015-05-01,-1.295406849290804
2015-05-04,-1.3618025663339384
2015-05-05,-1.2691412217407814
2015-05-06,-1.4610652176139318
2015-05-07,-1.3832011185273205
2015-05-08,-1.3046888838042778
2015-05-11,-1.4081884155666373
2015-05-12,-1.3504843656450238
2015-05-13,-1.2809525005514992
2015-05-14,-1.1862660706857335
2015-05-15,-1.3079483919241217
2015-05-18,-1.2206233750300894
2015-05-19,-1.1541107302631788
2015-05-20,-1.0920048200736765
2015-05-21,-1.0372367077586298
2015-05-22,-0.9936309352755058
2015-05-26,-0.9605914936794369
2015-05-27,-1.1453769242608367
2015-05-28,-1.2524555124115526
2015-05-29,-1.1901523079006036
2015-06-01,-1.1917767863562827
2015-06-02,-1.1107265812701321
2015-06-03,-1.0590215328636732
2015-06-04,-1.0158200753946742
2015-06-05,-1.108932688216337
2015-06-08,-1.0528173686294142
2015-06-09,-1.1143710797770419
2015-06-10,-1.0586817754708762
2015-06-11,-1.201276532041043
2015-06-12,-1.142973641168848
2015-06-15,-1.1658705385035786
2015-06-16,-1.131382472655707
2015-06-17,-1.1149514736896593
2015-06-18,-1.0604768303422978
2015-06-19,-1.1812901556401028
2015-06-22,-1.1576195054850853
2015-06-23,-1.1425405704733227
2015-06-24,-1.0730869246586718
2015-06-25,-1.1342272317893274
2015-06-26,-1.082303174059402
2015-06-29,-1.0723037738477517
2015-06-30,-1.67581088924049
2015-07-01,-1.5586927063467277
2015-07-02,-1.4800280343631478
2015-07-06,-1.3911578513292837
