,Variance-Covariance
2014-11-17,-2.3955359419001323
2014-11-18,-2.395873663257772
2014-11-19,-2.391924514453396
2014-11-20,-2.391313768977158
2014-11-21,-2.370695379700849
2014-11-24,-2.370084917514279
2014-11-25,-2.3678553893937346
2014-11-26,-2.367835287111418
2014-11-28,-2.366569114921757
2014-12-01,-2.358427084895413
2014-12-02,-2.358243568478547
2014-12-03,-2.3536996678126294
2014-12-04,-2.3494647426921786
2014-12-05,-2.349809674419138
2014-12-08,-2.3331217598673226
2014-12-09,-2.3298825157063456
2014-12-10,-2.3299417872472916
2014-12-11,-2.3336241960003803
2014-12-12,-2.328266441273464
2014-12-15,-2.3317996376182353
2014-12-16,-2.333256683868998
2014-12-17,-2.331563684046636
2014-12-18,-2.333721189860157
2014-12-19,-2.336767780519233
2014-12-22,-2.3366342345893614
2014-12-23,-2.335348144341285
2014-12-24,-2.33204222297922
2014-12-26,-2.331552066017705
2014-12-29,-2.3268344998084194
2014-12-30,-2.3269959450062028
2014-12-31,-2.327663043646307
2015-01-02,-2.3134391295309524
2015-01-05,-2.311177455656803
2015-01-06,-2.3153829500223773
2015-01-07,-2.317006769066554
2015-01-08,-2.317460213755453
2015-01-09,-2.3124643144086594
2015-01-12,-2.3139569168133276
2015-01-13,-2.3156088901414718
2015-01-14,-2.315873725727231
2015-01-15,-2.3153708007424982
2015-01-16,-2.3181816534965485
2015-01-20,-2.318717752294625
2015-01-21,-2.3061407071037126
2015-01-22,-2.3061002027057
2015-01-23,-2.3070254618796517
2015-01-26,-2.303713273759365
2015-01-27,-2.299981305614343
2015-01-28,-2.3043501956562
2015-01-29,-2.306635954368495
2015-01-30,-2.3063271347969367
2015-02-02,-2.307253099960383
2015-02-03,-2.3066240594003378
2015-02-04,-2.307028362575333
2015-02-05,-2.30547657643474
2015-02-06,-2.3047599972071775
2015-02-09,-2.305489099993041
2015-02-10,-2.3056849056751494
2015-02-11,-2.305540560291822
2015-02-12,-2.3056450746957546
2015-02-13,-2.3039410965319287
2015-02-17,-2.2918766996761164
2015-02-18,-2.2905855049243646
2015-02-19,-2.2895893653676778
2015-02-20,-2.2896335051976053
2015-02-23,-2.2891022062702358
2015-02-24,-2.289238800361812
2015-02-25,-2.284459311960459
2015-02-26,-2.2843155281919003
2015-02-27,-2.2830692555645395
2015-03-02,-2.2795301984488257
2015-03-03,-2.2795877202771826
2015-03-04,-2.2785670913721345
2015-03-05,-2.277978768442021
2015-03-06,-2.273867472950757
2015-03-09,-2.2766779131477173
2015-03-10,-2.270729229589163
2015-03-11,-2.2754020189053854
2015-03-12,-2.275017049680993
2015-03-13,-2.2726442913071274
2015-03-16,-2.273626320831108
2015-03-17,-2.274220243363509
2015-03-18,-2.274551095815587
2015-03-19,-2.2738295042716548
2015-03-20,-2.2740522044378326
2015-03-23,-2.274136921146436
2015-03-24,-2.2744628090922188
2015-03-25,-2.2753755235003768
2015-03-26,-2.2800728255537996
2015-03-27,-2.2800545321093884
2015-03-30,-2.2789413055225562
2015-03-31,-2.2782564758858768
2015-04-01,-2.277292979063952
2015-04-02,-2.277067427740229
2015-04-06,-2.2771265741724345
2015-04-07,-2.276673852015374
2015-04-08,-2.2764530043159503
2015-04-09,-2.2764047307757314
2015-04-10,-2.274256613200174
2015-04-13,-2.2712701801104616
2015-04-14,-2.271045515335484
2015-04-15,-2.271055323459051
2015-04-16,-2.271026752449839
2015-04-17,-2.2711189612345524
2015-04-20,-2.2745138348478484
2015-04-21,-2.274764922888061
2015-04-22,-2.2742639688465114
2015-04-23,-2.274175821374462
2015-04-24,-2.274189632057164
2015-04-27,-2.2693356059048178
2015-04-28,-2.270168432928128
2015-04-29,-2.2702025669831687
2015-04-30,-2.271205002336137
2015-05-01,-2.274576183114781
