,Copula-GARCH sjc
2015-02-02,-2.4065408869077096
2015-02-03,-2.3854772811181
2015-02-04,-2.4164589724416454
2015-02-05,-2.2638139033623523
2015-02-06,-2.233583855023945
2015-02-09,-2.1115518403846307
2015-02-10,-2.0070355735839933
2015-02-11,-2.068528314917062
2015-02-12,-1.9287300812982764
2015-02-13,-1.9675671965014734
2015-02-17,-1.8789723741959408
2015-02-18,-1.7588515914852925
2015-02-19,-1.6553724944634234
2015-02-20,-1.5745559246927359
2015-02-23,-1.5582578035647223
2015-02-24,-1.4809750830876507
2015-02-25,-1.4172754680226543
2015-02-26,-1.3639936535660067
2015-02-27,-1.3316157911710595
2015-03-02,-1.348029036884262
2015-03-03,-1.4079555430273791
2015-03-04,-1.4421194593186344
2015-03-05,-1.4361362558958495
2015-03-06,-1.3800728317521862
2015-03-09,-1.767672012659646
2015-03-10,-1.6741342258352316
2015-03-11,-2.1815577559460007
2015-03-12,-2.0278513095610253
2015-03-13,-2.0684687141821456
2015-03-16,-1.988139208683232
2015-03-17,-2.0967577217118767
2015-03-18,-1.9583159685958385
2015-03-19,-2.006489221970613
2015-03-20,-1.8954835793966187
2015-03-23,-1.865434287267343
2015-03-24,-1.7625245747799
2015-03-25,-1.723966638260415
2015-03-26,-2.333837211218802
2015-03-27,-2.1701361203882064
2015-03-30,-2.0274446484701634
2015-03-31,-2.103009452130404
2015-04-01,-2.1284605678463193
2015-04-02,-2.0148324853520316
2015-04-06,-1.8825955438354265
2015-04-07,-1.820821820443849
2015-04-08,-1.7196259965585932
2015-04-09,-1.666442946429938
2015-04-10,-1.6038751963329234
2015-04-13,-1.5591057558526509
2015-04-14,-1.528669912341271
2015-04-15,-1.4648386181394344
2015-04-16,-1.4631937138153006
2015-04-17,-1.404375135187658
2015-04-20,-1.7967270788181937
2015-04-21,-1.8818139391583824
2015-04-22,-1.7705171292900805
2015-04-23,-1.696052032222758
2015-04-24,-1.6106841157261629
2015-04-27,-1.557448370316901
2015-04-28,-1.5658693923126383
2015-04-29,-1.497509774875812
2015-04-30,-1.511447464981858
2015-05-01,-1.8607845016444216
2015-05-04,-1.9736393109422679
2015-05-05,-1.8438352284882715
2015-05-06,-2.1129858240451127
2015-05-07,-2.0057629722555896
2015-05-08,-1.8907180831392691
2015-05-11,-2.038235030584811
2015-05-12,-1.9376680118844942
2015-05-13,-1.83883342031819
2015-05-14,-1.7211086600710481
2015-05-15,-1.8773163360891552
2015-05-18,-1.7545139522411337
2015-05-19,-1.6753930331591347
2015-05-20,-1.5878014546579453
2015-05-21,-1.510504750227813
2015-05-22,-1.4480774678881556
2015-05-26,-1.4021269551958422
2015-05-27,-1.6665199038889182
2015-05-28,-1.8167462238989613
2015-05-29,-1.7118588309346694
2015-06-01,-1.7138159683989251
2015-06-02,-1.6157916428364307
2015-06-03,-1.5402645973283702
2015-06-04,-1.479083962332024
2015-06-05,-1.6124053704173615
2015-06-08,-1.532429377658614
2015-06-09,-1.6191174819131522
2015-06-10,-1.538844378842206
2015-06-11,-1.7432768694855396
2015-06-12,-1.6441490082562265
2015-06-15,-1.676063448901889
2015-06-16,-1.6431253366352903
2015-06-17,-1.6038187201908045
2015-06-18,-1.5266066695960627
2015-06-19,-1.6978004437409535
2015-06-22,-1.664263200071167
2015-06-23,-1.64364222435094
2015-06-24,-1.5589689827340871
2015-06-25,-1.631218617080023
2015-06-26,-1.5726748075471302
2015-06-29,-1.5431301096678427
2015-06-30,-2.416920431336774
2015-07-01,-2.2489171353931288
2015-07-02,-2.136912602525379
2015-07-06,-1.9926324416012309
2015-07-07,-1.9000227351540102
2015-07-08,-1.8174003751182808
2015-07-09,-2.2512105846135064
2015-07-10,-2.0963342198825035
2015-07-13,-2.2183631182513617
2015-07-14,-2.2817664664780053
2015-07-15,-2.1517486401236297
2015-07-16,-2.0096322672386315
2015-07-17,-2.0270497220887034
2015-07-20,-1.9411012316724832
2015-07-21,-1.8242966343674918
2015-07-22,-1.7568260430755496
2015-07-23,-1.7186270449305883
2015-07-24,-1.705635273623766
2015-07-27,-1.879665389222273
2015-07-28,-1.889940538230914
2015-07-29,-1.9807772719889518
2015-07-30,-1.9106288211972626
2015-07-31,-1.7965372200571659
2015-08-03,-1.702857686852056
2015-08-04,-1.633145916628009
2015-08-05,-1.566356021110514
2015-08-06,-1.5304897315010788
2015-08-07,-1.7956686769414958
2015-08-10,-1.7170816122502295
2015-08-11,-1.890530108373564
2015-08-12,-2.019600816912697
2015-08-13,-1.885305340828355
2015-08-14,-1.7810797566762722
2015-08-17,-1.696337661423373
2015-08-18,-1.6777919740745957
2015-08-19,-1.6430397711174702
2015-08-20,-1.7241299038932536
2015-08-21,-2.6498315510151196
2015-08-24,-3.8875169949829784
2015-08-25,-5.082956218962306
2015-08-26,-4.663450135692544
2015-08-27,-5.498383332019817
2015-08-28,-5.345246122986189
2015-08-31,-4.7679046484961916
2015-09-01,-4.361414351303793
2015-09-02,-4.801250553893016
2015-09-03,-4.667592896703093
2015-09-04,-4.1804882740431255
2015-09-08,-3.970105014750672
2015-09-09,-4.22413674574191
2015-09-10,-3.987667500684136
2015-09-11,-3.61279117246126
2015-09-14,-3.2574803346366137
2015-09-15,-2.9590260027077124
2015-09-16,-2.865775307604935
2015-09-17,-2.655860549059233
2015-09-18,-2.4137836723219794
2015-09-21,-2.654938322450218
2015-09-22,-2.4224519218018203
2015-09-23,-2.5587326716709895
2015-09-24,-2.3446652088800533
2015-09-25,-2.17484073483925
2015-09-28,-2.089739996531832
2015-09-29,-3.219003236925957
2015-09-30,-2.9452996088544947
2015-10-01,-3.200518173737647
2015-10-02,-2.9090831276243967
2015-10-05,-2.958610870226665
2015-10-06,-3.0584083307177576
2015-10-07,-2.828336513659605
2015-10-08,-2.666108866071721
2015-10-09,-2.5044792103572346
2015-10-12,-2.300741720225321
