,Copula-MSM plackett
2014-08-19,-1.1515847080129786
2014-08-20,-1.1753532289749873
2014-08-21,-1.058516928319995
2014-08-22,-1.0118737437953162
2014-08-25,-0.9822844804005599
2014-08-26,-0.9778580138272751
2014-08-27,-0.9558716428672323
2014-08-28,-0.9321672995976649
2014-08-29,-0.9290118053822586
2014-09-02,-0.7857150573162164
2014-09-03,-0.9451722326490208
2014-09-04,-0.9586435581248115
2014-09-05,-0.8003222275415472
2014-09-08,-0.9569727697253095
2014-09-09,-0.808259396132127
2014-09-10,-1.0602915368915766
2014-09-11,-0.9456115485325159
2014-09-12,-0.9924517929075486
2014-09-15,-0.9372787411788079
2014-09-16,-1.093566202066132
2014-09-17,-1.1318247351801347
2014-09-18,-1.0597344413955794
2014-09-19,-1.0698599722081759
2014-09-22,-1.0253068221066737
2014-09-23,-1.1811301736685589
2014-09-24,-1.160509892150241
2014-09-25,-1.2233593062129218
2014-09-26,-1.6268870040273935
2014-09-29,-1.5994791941814117
2014-09-30,-1.4973077357946325
2014-10-01,-1.4062381573238818
2014-10-02,-1.5822503651133903
2014-10-03,-1.476356634410447
2014-10-06,-1.5123157669012615
2014-10-07,-1.4309565535967261
2014-10-08,-1.6080492090603071
2014-10-09,-1.7441684172767238
2014-10-10,-1.8914286200143124
2014-10-13,-1.995808940598947
2014-10-14,-2.0320888206987147
2014-10-15,-1.8690616304442726
2014-10-16,-1.6899792567486596
2014-10-17,-1.5982762686883072
2014-10-20,-1.6325190294201126
2014-10-21,-1.7046892238748999
2014-10-22,-1.934460767587159
2014-10-23,-1.8336066274350695
2014-10-24,-1.8616464921435893
2014-10-27,-1.774190438781044
2014-10-28,-1.6013795822872872
2014-10-29,-1.7467369486982172
2014-10-30,-1.636465925549204
2014-10-31,-1.5765270215016574
2014-11-03,-1.6847955790982803
2014-11-04,-1.558178157379012
2014-11-05,-1.4442791914190798
2014-11-06,-1.3513547583167151
2014-11-07,-1.3373132823931224
2014-11-10,-1.2118926287947434
2014-11-11,-1.1322290292659483
2014-11-12,-1.0675347175070815
2014-11-13,-1.0358880385368228
2014-11-14,-1.0045535953395814
2014-11-17,-0.8392116444533408
2014-11-18,-0.7881403905191772
2014-11-19,-1.0122787713614825
2014-11-20,-0.9098366773871436
2014-11-21,-0.9395329588071946
2014-11-24,-1.0066290576047592
2014-11-25,-1.0331216409782398
2014-11-26,-0.9978636008717603
2014-11-28,-1.0029813066592637
2014-12-01,-0.8326433342097517
2014-12-02,-1.1433638047299388
2014-12-03,-1.1217023370499877
2014-12-04,-1.0295425516975951
2014-12-05,-1.0165758106128897
2014-12-08,-0.9821306388998879
2014-12-09,-1.086059127422451
2014-12-10,-1.0350767794052713
2014-12-11,-1.4274621120118836
2014-12-12,-1.3019858640894852
2014-12-15,-1.5620460769666615
2014-12-16,-1.5703430155207412
2014-12-17,-1.6376089042118795
2014-12-18,-1.7831786723424148
2014-12-19,-1.810619767624068
2014-12-22,-1.7189999245473089
2014-12-23,-1.6334925031394465
2014-12-24,-1.5321546224888918
2014-12-26,-1.3577164904337835
2014-12-29,-1.3400709256979562
2014-12-30,-1.210172566312063
2014-12-31,-1.2241153404950054
2015-01-02,-1.322769674380249
2015-01-05,-1.2270358288122665
2015-01-06,-1.6195022876827962
2015-01-07,-1.6490600231226809
2015-01-08,-1.6747890356381994
2015-01-09,-1.7465143647561097
2015-01-12,-1.7128164585078967
2015-01-13,-1.693846192937503
2015-01-14,-1.5949589927226968
2015-01-15,-1.510878558826358
2015-01-16,-1.6741514877264048
2015-01-20,-1.7192216268182225
2015-01-21,-1.5942136774928057
2015-01-22,-1.5193298544424003
2015-01-23,-1.7050513944255716
2015-01-26,-1.5939901393783382
2015-01-27,-1.4923482747212333
2015-01-28,-1.7142423961829467
2015-01-29,-1.7185067648750365
2015-01-30,-1.6662981073875724
2015-02-02,-1.6896060724460982
2015-02-03,-1.6765583426392583
2015-02-04,-1.6926436080885279
2015-02-05,-1.6117241286488106
2015-02-06,-1.6331594789876969
2015-02-09,-1.568675335816395
2015-02-10,-1.4537893204109693
2015-02-11,-1.6014048381628283
2015-02-12,-1.4911909412152666
2015-02-13,-1.5657463588353895
2015-02-17,-1.4939864017680615
2015-02-18,-1.358925669482517
2015-02-19,-1.2156224134679547
2015-02-20,-1.1098049653708983
2015-02-23,-1.1016336949153127
2015-02-24,-1.019424020130406
2015-02-25,-0.965677739488542
2015-02-26,-0.9310494164401296
2015-02-27,-0.9144387896491069
2015-03-02,-0.9298996563247942
2015-03-03,-0.9858702350188683
2015-03-04,-0.996836888367662
2015-03-05,-0.9325416257629379
2015-03-06,-0.8934729712948805
2015-03-09,-1.3228547939865725
2015-03-10,-1.236615568738477
2015-03-11,-1.5259220726394465
2015-03-12,-1.4182582909493486
2015-03-13,-1.465303893924643
2015-03-16,-1.420719873746373
2015-03-17,-1.5100565332853362
2015-03-18,-1.411480811007259
2015-03-19,-1.4647920935623988
2015-03-20,-1.3823682742268355
2015-03-23,-1.3584139600645309
2015-03-24,-1.3110963456405857
2015-03-25,-1.2854599844516745
2015-03-26,-1.6499360863780856
2015-03-27,-1.5422513039004282
