,Historical,Variance-Covariance,RiskMetrics,CCC-GARCH,Copula-GARCH Student,Copula-MSM Student
2014-09-04,-3.0143361361698195,-2.4291872993180843,-1.2120015558951516,-1.27823621756778,-1.2794155513424068,-1.6425774648429208
2014-09-05,-3.0143361361698195,-2.429427261030565,-1.1800149997860765,-1.2609281650271995,-1.26210194429111,-1.3539088494684108
2014-09-08,-3.0143361361698195,-2.4294233962069205,-1.1758504072904328,-1.2627376261889836,-1.2639111627403892,-1.6422955853541308
2014-09-09,-3.0143361361698195,-2.428920744555803,-1.140407650678838,-1.248740185283287,-1.2499724508712358,-1.3599259411087987
2014-09-10,-3.0143361361698195,-2.430340908729433,-1.1886544526769864,-1.380290860082217,-1.381636953494214,-1.81539096642804
2014-09-11,-3.0143361361698195,-2.430284617881062,-1.1952814071798794,-1.3824149778743964,-1.383751210967789,-1.581124023054063
2014-09-12,-3.0143361361698195,-2.430436922346564,-1.1603167911941628,-1.3361505971021244,-1.3374570474128784,-1.7023571554860686
2014-09-15,-3.0143361361698195,-2.431536243405213,-1.1698730821157295,-1.388234735118134,-1.389579952708185,-1.5690544046684405
2014-09-16,-3.0143361361698195,-2.432383287602861,-1.1800583183405184,-1.4630739263539374,-1.4648448206724511,-1.8748236528173667
2014-09-17,-3.0143361361698195,-2.432085430725914,-1.2205451704835333,-1.4962131430918806,-1.4980251486087297,-1.945450222157627
2014-09-18,-3.0143361361698195,-2.432156850387285,-1.1872375858451674,-1.4389318708894088,-1.4406949601187524,-1.8189822692019264
2014-09-19,-3.0143361361698195,-2.432161938554232,-1.1983963625205163,-1.4357456877108143,-1.43751369465736,-1.8333783608789584
2014-09-22,-3.0143361361698195,-2.4323882014439797,-1.1660420643573834,-1.3985072878260385,-1.400211906489622,-1.7523837080790268
2014-09-23,-3.0143361361698195,-2.433302375414093,-1.259500291427035,-1.5680881644366356,-1.5699776666507828,-2.025432081515256
2014-09-24,-3.0143361361698195,-2.4342504854585147,-1.2539195615577934,-1.5691910847830044,-1.5710752867250688,-2.002925532908227
2014-09-25,-3.0143361361698195,-2.4343343118120067,-1.320234922977861,-1.6227065650149777,-1.6246520827930857,-2.0819820379363843
2014-09-26,-3.0143361361698195,-2.438214572506354,-1.6387416079961576,-2.106069181662537,-2.10858289921762,-2.553570933128863
2014-09-29,-3.0143361361698195,-2.438012942897878,-1.6754191777222012,-2.083552773022118,-2.0860412704383826,-2.518872173090504
2014-09-30,-3.0143361361698195,-2.4382335443251795,-1.6282851667844391,-1.9747268459853171,-1.977093429852128,-2.3983011325903574
2014-10-01,-3.0143361361698195,-2.43882802946114,-1.5866062406570038,-1.8866691435441785,-1.888949280630927,-2.2965825718315074
2014-10-02,-3.0143361361698195,-2.442434258535513,-1.750634093521865,-2.1290848288991326,-2.131672167451477,-2.427460119884108
2014-10-03,-3.0143361361698195,-2.441758648421808,-1.6981099820047625,-2.0082519539799413,-2.010705168435046,-2.2982002042234293
2014-10-06,-3.0143361361698195,-2.442052245848086,-1.754705634039696,-2.0382888848290177,-2.040812367931637,-2.335461096623594
2014-10-07,-3.0143361361698195,-2.442509587704008,-1.7104828982961828,-1.9523263479635735,-1.9547367316716184,-2.238568947643857
2014-10-08,-3.0143361361698195,-2.446490824790652,-1.8787630542557665,-2.207246862420128,-2.2099916236641763,-2.470398168967369
2014-10-09,-3.0143361361698195,-2.4472942819018493,-2.092543578352376,-2.4437731015790733,-2.446864305778594,-2.761872828532612
2014-10-10,-3.0143361361698195,-2.453571143709722,-2.3450800427012823,-2.8067559875326045,-2.8103564574815647,-3.001107713880394
2014-10-13,-3.0143361361698195,-2.4584279562577507,-2.4840041556807857,-2.9846637431631087,-2.988482504602508,-3.172518027020957
2014-10-14,-3.0143361361698195,-2.4624156380447872,-2.568613368322397,-3.057631451779325,-3.061588213835569,-3.2563142046136537
2014-10-15,-3.0143361361698195,-2.4623938927098075,-2.494082163185148,-2.856057638440684,-2.8597938843514754,-3.003146203181928
2014-10-16,-3.0143361361698195,-2.462790599173453,-2.4381111923518146,-2.7265794681795703,-2.730155457706648,-2.795458612383783
2014-10-17,-3.0143361361698195,-2.462945376594607,-2.363905955154778,-2.5577872198630294,-2.561181971575228,-2.619807578341081
2014-10-20,-3.0143361361698195,-2.459472054531123,-2.379769617985757,-2.533275324525248,-2.5366348963584304,-2.672640373737506
2014-10-21,-3.0143361361698195,-2.459750650702724,-2.395007321253723,-2.5027146553367623,-2.5060522187722785,-2.737071047677849
2014-10-22,-3.0143361361698195,-2.4622417743371363,-2.626257746552673,-2.7957624982826004,-2.7994980221358383,-3.0739211559186512
2014-10-23,-3.0143361361698195,-2.4636141325495573,-2.584993750650564,-2.6974207689641303,-2.7010462351049527,-2.8472322713775866
2014-10-24,-3.0143361361698195,-2.464362768389383,-2.6306707571447987,-2.708257665845483,-2.711901594538761,-2.8809221531598883
2014-10-27,-3.0143361361698195,-2.464392324865311,-2.5813173056916296,-2.5847905134829032,-2.588281545236302,-2.745106943627132
2014-10-28,-3.0143361361698195,-2.4639752467728693,-2.502845397034313,-2.436672240365949,-2.439961108065658,-2.563503120308614
2014-10-29,-3.0143361361698195,-2.4577668794758987,-2.5651222368009075,-2.5005232628206664,-2.503878050936257,-2.842031087342
2014-10-30,-3.0143361361698195,-2.458265340821532,-2.49056761390439,-2.367910756636197,-2.371097487009967,-2.697710747769706
2014-10-31,-3.0143361361698195,-2.457428397435568,-2.431183483221657,-2.2591041156426463,-2.262122018322224,-2.616708226464284
2014-11-03,-3.0143361361698195,-2.452639147250769,-2.468334203915177,-2.299843657232602,-2.3029113089988287,-2.702803776232532
2014-11-04,-3.0143361361698195,-2.4520503417541506,-2.393597044769269,-2.1734031519379564,-2.176294868185228,-2.592413450440393
2014-11-05,-3.0143361361698195,-2.4427147723397376,-2.327243600205303,-2.0774494665891794,-2.0802191367688048,-2.369618591672708
2014-11-06,-3.0143361361698195,-2.4411666440098343,-2.260934051775989,-1.985884939407914,-1.9885435014035693,-2.256551040672695
2014-11-07,-2.9312426636332622,-2.426531319957916,-2.2027328812049154,-1.8993574077661093,-1.9018716974960264,-2.2844169394614786
2014-11-10,-2.9312426636332622,-2.420993984087432,-2.135793839894664,-1.80794577025487,-1.810364565880527,-2.081062587292581
2014-11-11,-2.9312426636332622,-2.4056367199699373,-2.080943722281699,-1.7360274763021408,-1.738343478052573,-1.9590054581542933
2014-11-12,-2.9312426636332622,-2.405345759024919,-2.018926627077493,-1.6536185004070771,-1.655838343401104,-1.8320225860128097
2014-11-13,-2.9312426636332622,-2.4040701515684137,-1.9586381562709567,-1.5848011879600246,-1.5869414532429016,-1.762104169775442
2014-11-14,-2.9312426636332622,-2.4012573018064294,-1.8995163080848732,-1.515280643538096,-1.51732906383384,-1.6991195917569548
2014-11-17,-2.9312426636332622,-2.3955359419001323,-1.84256046506771,-1.4549783759234791,-1.4569347810480635,-1.4221319501850127
2014-11-18,-2.9312426636332622,-2.395873663257772,-1.7884900607105816,-1.414207834122427,-1.4161052348865466,-1.3292566662502283
2014-11-19,-2.9312426636332622,-2.391924514453396,-1.7664561740651583,-1.4122537125211978,-1.4141484348042046,-1.7136795044565174
2014-11-20,-2.9312426636332622,-2.391313768977158,-1.724894430962769,-1.4040044432253649,-1.4058690603416746,-1.519820217997614
2014-11-21,-2.8148156854938997,-2.370695379700849,-1.6861053327508675,-1.3727467302642038,-1.3745467971573415,-1.6029872145216717
2014-11-24,-2.8148156854938997,-2.370084917514279,-1.648948530826874,-1.3537964955911763,-1.355581477196515,-1.7080087829201356
2014-11-25,-2.8148156854938997,-2.367855389393734,-1.6331880781849577,-1.3673034225130294,-1.3691234079190733,-1.7585025890239565
2014-11-26,-2.8148156854938997,-2.367835287111418,-1.5834851972181232,-1.3273459595134611,-1.3291177349000305,-1.6959640681927195
2014-11-28,-2.8148156854938997,-2.366569114921757,-1.5560133469312434,-1.313985921103198,-1.3157311495118542,-1.7040693450717324
2014-12-01,-2.8148156854938997,-2.358427084895413,-1.5093394676907672,-1.2907291775962246,-1.2924409783108806,-1.40159317814504
2014-12-02,-2.8148156854938997,-2.358243568478547,-1.5741288134287643,-1.5069380712540914,-1.5088334438054396,-1.9608289239700296
2014-12-03,-2.8148156854938997,-2.3536996678126294,-1.5663182747958957,-1.5041419038344088,-1.5060237454365282,-1.9409944341518044
2014-12-04,-2.8148156854938997,-2.349464742692178,-1.53425995429114,-1.4623077235178428,-1.4641133440900018,-1.7799353018945123
2014-12-05,-2.8148156854938997,-2.349809674419138,-1.488860409345386,-1.4160690218138172,-1.4178531981250442,-1.73391639540139
2014-12-08,-2.6844873196219936,-2.3331217598673226,-1.4480732323365832,-1.3672860523617627,-1.3690174850028043,-1.6745937036964615
2014-12-09,-2.6844873196219936,-2.3298825157063456,-1.4734969367571216,-1.4786730698048474,-1.4805690330381225,-1.8583148932568496
2014-12-10,-2.6844873196219936,-2.329941787247292,-1.4362277067735802,-1.438004233905763,-1.4398037436440934,-1.7765606232489166
2014-12-11,-2.6844873196219936,-2.3336241960003803,-1.6952424184424535,-1.9371509934120523,-1.9394722299217,-2.436255042038862
2014-12-12,-2.6844873196219936,-2.328266441273464,-1.6665116449332142,-1.856644260559425,-1.8589092918307264,-2.261849914306841
2014-12-15,-2.6844873196219936,-2.3317996376182357,-1.801993219263884,-2.111853005382648,-2.114415587276733,-2.59444241937772
2014-12-16,-2.6844873196219936,-2.333256683868998,-1.8116813726853715,-2.1058377644819952,-2.10836699406935,-2.6088253434575432
2014-12-17,-2.6844873196219936,-2.331563684046636,-1.856083748250374,-2.165924114528702,-2.1684048308213626,-2.686722726467115
2014-12-18,-2.6844873196219936,-2.333721189860157,-2.1476345887940065,-2.543180057436577,-2.546131925266588,-2.867277451238851
2014-12-19,-2.6844873196219936,-2.336767780519233,-2.4587780617077155,-2.945749261875682,-2.949205595167214,-2.938611922830312
2014-12-22,-2.6844873196219936,-2.3366342345893614,-2.395099162695133,-2.734927643323757,-2.738171530061728,-2.8183822566802874
2014-12-23,-2.6844873196219936,-2.335348144341285,-2.3310872046625475,-2.5445776543557224,-2.5476261019993136,-2.717607368009439
2014-12-24,-2.6844873196219936,-2.33204222297922,-2.260536672467717,-2.3768432633509105,-2.379713858718546,-2.582765911132412
2014-12-26,-2.6844873196219936,-2.331552066017705,-2.1921156976323792,-2.2160014813236457,-2.2186897283364737,-2.3137443144032286
2014-12-29,-2.6844873196219936,-2.3268344998084194,-2.145401327748336,-2.0991587624917774,-2.101680878607848,-2.3202411289212
2014-12-30,-2.6844873196219936,-2.3269959450062028,-2.080192088208572,-1.9631078600181089,-1.965482763647564,-2.120535062605857
2014-12-31,-2.6844873196219936,-2.327663043646307,-2.0412478581774187,-1.9058712345322504,-1.908189816500261,-2.1359480766608274
2015-01-02,-2.6634325796077496,-2.3134391295309524,-2.052261801403472,-1.98065798262473,-1.9830533892279276,-2.2329335740437104
2015-01-05,-2.6634325796077496,-2.311177455656803,-1.990813786541279,-1.8670526515305828,-1.86931205994446,-2.147940912203495
2015-01-06,-2.6634325796077496,-2.3153829500223773,-2.163186071005045,-2.261769524548436,-2.2644568086138355,-2.666598380533549
2015-01-07,-2.6634325796077496,-2.317006769066554,-2.1879449047195623,-2.3049965367663727,-2.307703426779055,-2.7043010197280166
2015-01-08,-2.6634325796077496,-2.317460213755453,-2.229255415129682,-2.320014735540491,-2.3227834627263477,-2.735975939645785
2015-01-09,-2.6634325796077496,-2.3124643144086594,-2.3923158916857004,-2.5528044732887345,-2.555819881630458,-2.822111202482251
2015-01-12,-2.6634325796077496,-2.313956916813328,-2.3597528544371564,-2.463156375483199,-2.4660672704939848,-2.800276414465481
2015-01-13,-2.6634325796077496,-2.315608890141472,-2.335832537330191,-2.3984089701609976,-2.40126276631041,-2.770137755496385
2015-01-14,-2.6634325796077496,-2.315873725727231,-2.2665896252226965,-2.238086125944412,-2.240767554566182,-2.640551317265512
2015-01-15,-2.6634325796077496,-2.3153708007424982,-2.2181945597019475,-2.143293330370002,-2.1458562180355982,-2.4877293203000383
2015-01-16,-2.6634325796077496,-2.3181816534965485,-2.258150937089397,-2.247414225718335,-2.2500709446447056,-2.724873696243389
2015-01-20,-2.6634325796077496,-2.318717752294625,-2.3219479330769293,-2.3255945357436145,-2.3283640476248744,-2.784715897309207
2015-01-21,-2.6202660008275656,-2.306140707103713,-2.2575990418724667,-2.170116227728768,-2.172722369542582,-2.6236187741873103
2015-01-22,-2.6202660008275656,-2.3061002027057,-2.199001678149328,-2.0369347296724447,-2.0393645152024136,-2.5369486269534773
2015-01-23,-2.6202660008275656,-2.307025461879652,-2.327569594284752,-2.2705489899926783,-2.2732625203436965,-2.759800987690906
2015-01-26,-2.6202660008275656,-2.303713273759365,-2.2594433735478194,-2.144323051228063,-2.1468785452019743,-2.6290859933893502
2015-01-27,-2.6202660008275656,-2.299981305614343,-2.196165101194764,-2.0052490792544777,-2.007641380179684,-2.502359624557917
2015-01-28,-2.6202660008275656,-2.3043501956562,-2.322747340945739,-2.325381736344473,-2.3280502004215786,-2.7701682098639577
2015-01-29,-2.6202660008275656,-2.306635954368495,-2.344798804429088,-2.3945585520669863,-2.3972729201909515,-2.785722199595223
2015-01-30,-2.6202660008275656,-2.3063271347969367,-2.338491263898689,-2.3289018735308806,-2.331567412060133,-2.6242449256685725
2015-02-02,-2.6202660008275656,-2.307253099960383,-2.363370812673484,-2.3953425171209832,-2.398102432991415,-2.664564986869625
2015-02-03,-2.6202660008275656,-2.3066240594003378,-2.373928394937394,-2.373734334322924,-2.376472248643927,-2.652593940516596
2015-02-04,-2.6202660008275656,-2.307028362575333,-2.4109401971774007,-2.403688718529708,-2.406476536081527,-2.685555292639751
2015-02-05,-2.6202660008275656,-2.30547657643474,-2.34482408576843,-2.253164845620671,-2.255647121884353,-2.561650197870863
2015-02-06,-2.6202660008275656,-2.304759997207177,-2.346855084786244,-2.2232210804420904,-2.225706746152721,-2.5813080974597558
2015-02-09,-2.6202660008275656,-2.305489099993041,-2.2861257531772714,-2.100743135654711,-2.1031392017051966,-2.4984111075025046
2015-02-10,-2.6202660008275656,-2.3056849056751494,-2.2285817281058704,-1.9960520986721928,-1.9984093031172927,-2.3006664353492217
2015-02-11,-2.6202660008275656,-2.305540560291822,-2.262690790422514,-2.057118404354189,-2.0595800487501577,-2.532053488155514
2015-02-12,-2.6202660008275656,-2.305645074695754,-2.195205129369599,-1.9177951430947269,-1.920121688816252,-2.408972183878794
2015-02-13,-2.6202660008275656,-2.3039410965319287,-2.2130302038474063,-1.9563849653993668,-1.958832339197759,-2.4920618393529965
2015-02-17,-2.595543637242573,-2.2918766996761164,-2.170474215796883,-1.8684348458598452,-1.870764251769272,-2.411752478512658
2015-02-18,-2.595543637242573,-2.2905855049243646,-2.105763968489177,-1.7490911647022822,-1.7512963228080682,-2.265702625449393
2015-02-19,-2.595543637242573,-2.2895893653676778,-2.041868531177707,-1.6460148974184716,-1.6481201109404255,-2.0927491516788383
2015-02-20,-2.595543637242573,-2.2896335051976053,-1.9811244340316256,-1.5655838985160897,-1.5675948316322088,-1.935742844688026
2015-02-23,-2.595543637242573,-2.289102206270236,-1.953186307697541,-1.5493905367855474,-1.5513736215492029,-1.9187574666089788
2015-02-24,-2.595543637242573,-2.289238800361812,-1.8937909107014848,-1.472403671032131,-1.4742984100497167,-1.7648777286401205
2015-02-25,-2.595543637242573,-2.284459311960459,-1.839984863580986,-1.409143403790014,-1.4109519259160777,-1.6563487202371028
2015-02-26,-2.595543637242573,-2.2843155281919003,-1.784142628149039,-1.3562034586027476,-1.3579601916807384,-1.5819115862482411
2015-02-27,-2.595543637242573,-2.2830692555645395,-1.7314896225670728,-1.323967168547032,-1.325747108206097,-1.5481224531951552
2015-03-02,-2.595543637242573,-2.2795301984488257,-1.693599888816472,-1.3403130594133323,-1.3420988334905966,-1.577523079224303
2015-03-03,-2.595543637242573,-2.2795877202771826,-1.6970416498239886,-1.4000154719179412,-1.4018943382998956,-1.6870213911248042
