,Copula-MSM student
2015-09-03,-4.577223766531927
2015-09-04,-4.271287546501492
2015-09-08,-4.111822947046446
2015-09-09,-4.3693500647812575
2015-09-10,-4.249540308879023
2015-09-11,-4.031517815367603
2015-09-14,-3.7513533478191885
2015-09-15,-3.4798168685120463
2015-09-16,-3.45473985915301
2015-09-17,-3.2762830638556975
2015-09-18,-3.0123718353316455
2015-09-21,-3.2512971929388357
2015-09-22,-3.0282026330929463
2015-09-23,-3.1785225650040436
2015-09-24,-2.9451129742425977
2015-09-25,-2.7686095658957695
2015-09-28,-2.6906198460042217
2015-09-29,-3.6723919486181527
2015-09-30,-3.4414731389182993
2015-10-01,-3.7203728488363725
2015-10-02,-3.450834721245689
2015-10-05,-3.533839741795092
2015-10-06,-3.6459037207664435
2015-10-07,-3.4395859606598336
2015-10-08,-3.2721459214744537
2015-10-09,-3.1076275903303117
2015-10-12,-2.906749329073921
