,Historical,Variance-Covariance,RiskMetrics,CCC-GARCH,Copula-GARCH Student,Copula-MSM Student
2014-03-27,-1.77439363978817,-1.7504605168295144,-1.2393874393946476,-1.3156430609480456,-1.3156810860826933,-1.4315266368080295
2014-03-28,-1.77439363978817,-1.7512102152298152,-1.2105263737601613,-1.2720714970492366,-1.2721028029027048,-1.3270509099946766
2014-03-31,-1.77439363978817,-1.7496971916372368,-1.1792922496035656,-1.2202097908112028,-1.2202324743147803,-1.265013136602401
2014-04-01,-1.77439363978817,-1.7476713734725666,-1.2009706254566432,-1.2385565783071435,-1.238575769280732,-1.3117529967399633
2014-04-02,-1.77439363978817,-1.7464571452004962,-1.25562403662769,-1.3082254419749202,-1.3082428020495402,-1.417734293114866
2014-04-03,-1.77439363978817,-1.7458050546409838,-1.2212391524911166,-1.2461071003107749,-1.2461145433856902,-1.3245275811910138
2014-04-04,-1.77439363978817,-1.746161270285229,-1.2018105368108023,-1.234949620905643,-1.2349580856275613,-1.305720178057006
2014-04-07,-1.7863824034000686,-1.7502994037575847,-1.4044212054062966,-1.594269348342351,-1.5942909685341888,-1.601379256687092
2014-04-08,-1.77439363978817,-1.7440745162676896,-1.4350996873666322,-1.6454937755224104,-1.645585512432632,-1.7425219966676064
2014-04-09,-1.77439363978817,-1.7431703657169018,-1.411738874471937,-1.566495734008109,-1.56657470098846,-1.6251496686642486
2014-04-10,-1.77439363978817,-1.7433052147467394,-1.4800405998117283,-1.628446689869813,-1.6285353953418054,-1.7408774163059892
2014-04-11,-1.7863824034000686,-1.750307758451345,-1.7840179406874173,-2.1321418526933757,-2.132290861346624,-2.203535576316788
2014-04-14,-1.7863824034000686,-1.752503360326665,-1.79084393568184,-2.092974549817106,-2.093108990495338,-1.9189672889442329
2014-04-15,-1.7863824034000686,-1.752503294012235,-1.7587472751011963,-1.9780937637626,-1.9782085350558347,-1.8251404587944964
2014-04-16,-1.7863824034000686,-1.752537193956214,-1.7160595939379713,-1.861408718668082,-1.8615045389483489,-1.7167097771630742
2014-04-17,-1.7863824034000686,-1.7525002695818164,-1.7284987459341543,-1.831783117515165,-1.8318679574841457,-1.7667496309442072
2014-04-21,-1.7863824034000686,-1.752223431342784,-1.677439825178247,-1.712448729501396,-1.7125157430724802,-1.617856704684902
2014-04-22,-1.7863824034000686,-1.751717038462625,-1.6390254120846912,-1.620794314380162,-1.620870190960548,-1.6286534643524735
2014-04-23,-1.7863824034000686,-1.7515612407669257,-1.6129533879848637,-1.5559778569986389,-1.5560369087753785,-1.532019485935243
2014-04-24,-1.7863824034000686,-1.7510872836370786,-1.578160502896535,-1.5028823289719158,-1.5029295124881097,-1.471209616726981
2014-04-25,-1.7863824034000686,-1.7511534412584149,-1.5363482307563203,-1.423374271305918,-1.423411244052582,-1.3737800728891298
2014-04-28,-1.7863824034000686,-1.752659238122419,-1.5778141056954436,-1.5334572087698122,-1.5334851119796864,-1.560905686651367
2014-04-29,-1.7863824034000686,-1.75146889437081,-1.5308984123455205,-1.4484220419021312,-1.4484385761072849,-1.4401606188789733
2014-04-30,-1.7863824034000686,-1.7514645352889455,-1.5034192041799002,-1.3924938024239002,-1.392504927170284,-1.4029957193719749
2014-05-01,-1.7863824034000686,-1.7499349098440415,-1.4620867316322648,-1.320220490316639,-1.320227767925403,-1.3109196663887936
2014-05-02,-1.7863824034000686,-1.7484510307257304,-1.4188202621179336,-1.2527069112886486,-1.252710313329062,-1.2151539813654986
2014-05-05,-1.7863824034000686,-1.7474359520078828,-1.3763174803937417,-1.1947046045805187,-1.1947079715742337,-1.1579762516779772
2014-05-06,-1.77439363978817,-1.7413689703041746,-1.3386496447020928,-1.1442308767934488,-1.1442340584734343,-1.1058680698743075
2014-05-07,-1.77439363978817,-1.742550641035289,-1.377912451758634,-1.279353876539187,-1.2793449058714823,-1.3148424688104432
2014-05-08,-1.7682407358493757,-1.735070494180334,-1.336801453617917,-1.241348157821567,-1.241367270373814,-1.2788102187562316
2014-05-09,-1.7682407358493757,-1.735659023823494,-1.300563456175973,-1.1968760545228465,-1.196894046936721,-1.2129821910944978
2014-05-12,-1.7682407358493757,-1.7356549315685563,-1.2677937849254668,-1.1487985600672883,-1.1488139448201544,-1.149430775573597
