,Historical,Variance-Covariance,RiskMetrics,CCC-GARCH,Copula-GARCH Student,Copula-GARCH Gaussian,Copula-GARCH Plackett,Copula-GARCH Clayton,Copula-GARCH Rotated Clayton,Copula-GARCH SJC,Copula-GARCH Frank,Copula-GARCH Gumbel,Copula-GARCH Rotated Gumbel,Copula-MSM Student,Copula-MSM Gaussian
2014-03-05,-3.0801747476922774,-2.4980371124994334,-1.9634072620825072,-1.94004026754194,-1.9419304333528304,-1.940077748980605,-1.889067149239328,-1.959532304812086,-1.6840993981974353,-1.9487359773414243,-1.8150458593381948,-1.900840519608905,-1.956667311055193,-2.364415494554988,-2.359045494891134
2014-03-06,-3.0801747476922774,-2.4978969897476926,-1.9039679238753024,-1.8396857578859969,-1.8415008104612745,-1.839718991940763,-1.7912813755255566,-1.858227687925756,-1.5964197295436064,-1.8477887416697545,-1.7405902046079635,-1.8024219700384,-1.8555039972835767,-2.168347937342948,-2.1636218533842464
2014-03-07,-3.0801747476922774,-2.4962454524293647,-1.845996457337108,-1.7535134884553571,-1.755235609091283,-1.7535416716445873,-1.7071478489337677,-1.771255587096747,-1.5211204003451315,-1.7615472421832652,-1.6589102575301984,-1.717852074046314,-1.7686462491354564,-2.0090068203615625,-2.0048823462806253
2014-03-10,-3.0801747476922774,-2.4900718750219677,-1.7919723967490016,-1.6868290300289797,-1.6884948752557525,-1.686896187720764,-1.6419193689074827,-1.7040205233775243,-1.462887613439395,-1.6947477583508197,-1.5830562269814463,-1.6524026050444705,-1.7014938737665548,-1.9027125316432687,-1.8993152854286883
2014-03-11,-3.0801747476922774,-2.489864432685667,-1.7375591822928165,-1.6156211887503855,-1.6172329757129955,-1.6156806586233234,-1.5726116279920646,-1.6321239568539052,-1.400712700517741,-1.6229693788857655,-1.528246230112572,-1.5825911397846248,-1.6297003917218047,-1.7983787954700483,-1.7951361107764472
2014-03-12,-3.0801747476922774,-2.490918954794368,-1.715675305945205,-1.6300629828773907,-1.6316931610166288,-1.6301202124048602,-1.5867534476161238,-1.646700861934141,-1.4134317145918984,-1.6377589972223472,-1.5420326714109198,-1.5967501360886542,-1.6442548935287642,-1.8415739762530736,-1.8382444934654556
2014-03-13,-3.0801747476922774,-2.490069036162516,-1.6673974174861657,-1.567975215691107,-1.5695566981949416,-1.5680439642758022,-1.5262369674616676,-1.584022229584062,-1.359523304161495,-1.5753504405420444,-1.471305007380192,-1.5359385531267558,-1.581663701385197,-1.8069551794108016,-1.802909077241072
2014-03-14,-3.0801747476922774,-2.4931427725899225,-1.7833667288985104,-1.8503139087710487,-1.8521553707592269,-1.8503919418560413,-1.8015366825583832,-1.8690230226764284,-1.606685116954952,-1.8590109914801036,-1.75121244222258,-1.8128798035828968,-1.866265947722352,-2.166596896847192,-2.1622152959760808
2014-03-17,-3.0801747476922774,-2.49365553875456,-1.7385003150420442,-1.7866670635174708,-1.78846060184575,-1.7867413591476788,-1.7396501443252068,-1.8047443974002213,-1.5513153086545126,-1.795108500085721,-1.6908959310539264,-1.7505300262302044,-1.8020801700268836,-2.05529853741846,-2.0513485887685667
2014-03-18,-3.0801747476922774,-2.493479924909836,-1.759144933346294,-1.8089564554732975,-1.810747674547008,-1.809034835703957,-1.761064080184064,-1.8273358978240088,-1.5695626681884425,-1.8175573729756536,-1.7117212279398104,-1.772153726020004,-1.824623141968976,-2.152770355412801,-2.1482517245853927
2014-03-19,-3.0801747476922774,-2.4932486902914897,-1.79450877045114,-1.8461479879641212,-1.8479431057717064,-1.8462179996180488,-1.7973607807299286,-1.8648380448456057,-1.6029366632053836,-1.8550092272007432,-1.7333202017933962,-1.808658111702617,-1.862076440552299,-2.2278298208721945,-2.223275468314477
2014-03-20,-3.0801747476922774,-2.4944485157535627,-1.773675505145846,-1.8342911194133504,-1.836078113234072,-1.834352750987804,-1.7857656644708473,-1.8528895071222475,-1.592137391751283,-1.8432876630017407,-1.7220347635301116,-1.796949785198507,-1.85013885988421,-2.2038753977335896,-2.1990701924797165
2014-03-21,-3.0801747476922774,-2.494444470018453,-1.7375478429468028,-1.7712450244965636,-1.7729514207972623,-1.771296028464774,-1.7240868222721748,-1.7893046252183136,-1.536270219155392,-1.780025459307205,-1.67609223360549,-1.7349400334752096,-1.7866285932723278,-2.2323415465776284,-2.225749425278872
2014-03-24,-3.0801747476922774,-2.4948706721635143,-1.7237914417906954,-1.787350047745479,-1.7890708909949251,-1.7874119990783013,-1.7399795872552368,-1.805527615698316,-1.5523114061111667,-1.7963116650114823,-1.6922508614614649,-1.7509054824803554,-1.8028406519402052,-2.116385538476493,-2.111799344269881
2014-03-25,-3.0801747476922774,-2.4959638164582314,-1.7379331457709444,-1.844227156356887,-1.8459497149501265,-1.8442791931075555,-1.7956351734998484,-1.862812738441605,-1.604571674369654,-1.853353697723409,-1.729232508987382,-1.8069305731059613,-1.860069004371718,-2.319469472126121,-2.313449056561746
