,Copula-MSM gaussian
2014-11-12,-1.8276264252444914
2014-11-13,-1.757681262835265
2014-11-14,-1.6946999843247965
2014-11-17,-1.4187541359289095
2014-11-18,-1.3264442055819092
2014-11-19,-1.7092905202129873
2014-11-20,-1.516087064440245
2014-11-21,-1.59999974842277
2014-11-24,-1.7035662926932635
2014-11-25,-1.753894379059627
2014-11-26,-1.6914240459619883
2014-11-28,-1.6995387840016838
2014-12-01,-1.3988543560690587
2014-12-02,-1.9555482167047094
2014-12-03,-1.935698201342921
2014-12-04,-1.7754026233682247
2014-12-05,-1.7294529174577007
2014-12-08,-1.6701165427863218
2014-12-09,-1.8534375014255764
2014-12-10,-1.7721387609326833
2014-12-11,-2.4266558953869595
2014-12-12,-2.253336168694606
2014-12-15,-2.5851783581248244
2014-12-16,-2.599115856646653
2014-12-17,-2.677097643171542
2014-12-18,-2.8579571291270773
2014-12-19,-2.929416504686285
2014-12-22,-2.8097645721487767
2014-12-23,-2.708090188900317
2014-12-24,-2.573071872660091
2014-12-26,-2.305983693996066
2014-12-29,-2.3125923295780417
2014-12-30,-2.1142457081348294
2014-12-31,-2.1290039867109565
2015-01-02,-2.22605879005177
2015-01-05,-2.1412830221352817
2015-01-06,-2.6572068010002647
2015-01-07,-2.6949448241717024
2015-01-08,-2.726651609817276
2015-01-09,-2.814071491883161
2015-01-12,-2.791220383510712
2015-01-13,-2.761018724899317
2015-01-14,-2.6312728923016917
2015-01-15,-2.4804187991034556
2015-01-16,-2.7156713043623335
2015-01-20,-2.7756741919609227
2015-01-21,-2.614920737945259
2015-01-22,-2.527849650354333
2015-01-23,-2.7508183367745196
2015-01-26,-2.619919860331771
2015-01-27,-2.493283005983402
2015-01-28,-2.76124110357301
2015-01-29,-2.776998694709092
2015-01-30,-2.6189448419033066
2015-02-02,-2.6593190143494283
2015-02-03,-2.647297022454533
2015-02-04,-2.6805015687356044
2015-02-05,-2.5563562720098223
2015-02-06,-2.5760189146182983
2015-02-09,-2.492861331156725
2015-02-10,-2.295260155112682
2015-02-11,-2.526511145433914
